"","1","2","3","4","5","6"
"boss",0.000896198997730132,0.000302106897971432,0,0.000179545669511122,0.000242428023809948,0.000258860283758193
"boxes",0.00270010647482309,0.000303400172419823,0,0,0,0
"boy",0.00270010647482309,0.000303400172419823,0,0,0,0
"breaking",0.000996528962046263,0.000223951952802893,0,0,0.000539135945365121,0.000215879874789454
"brought",0.00270010647482309,0.000303400172419823,0,0,0,0
"burden",0.00440368398759992,0,0,0,0,0
"certainly",0.000996528962046263,0.000223951952802893,0,0,0.000539135945365121,0.000287839833052605
"challenging",0.000996528962046263,0.000447903905605786,0.00122891281664108,0,0,0.000215879874789454
"character",0.000996528962046263,0.000671855858408679,0,0.00159716723746391,0,0.00187095891484193
"characterspros",0.00440368398759992,0,0,0,0,0
"charactersr",0.00270010647482309,0.000606800344839646,0,0,0,0
"charming",0.000448099498865066,5.03511496619054e-05,0.000552593289566794,0.000359091339022244,0,0.000161787677348871
"cheap",0.00170357751277683,0.000382848392036753,0,0,0,0.000246032722352073
"cherished",0.00270010647482309,0.000303400172419823,0,0,0,0
"classic",0.000996528962046263,0.000111975976401446,0,0,0.000539135945365121,0.000287839833052605
"clever",0.00298958688613879,0.000335927929204339,0,0,0.00107827189073024,0.000935479457420966
"come",0.000448099498865066,0.000201404598647622,0.000552593289566794,0,0.000242428023809948,0.000226502748288419
"completely",0.000996528962046263,0.000447903905605786,0,0,0.00161740783609536,0.000287839833052605
"cons",0.00170357751277683,0,0,0.00136518771331058,0,0.000123016361176036
"consistantly",0.00270010647482309,0.000303400172419823,0,0,0,0
"console",0.00270010647482309,0.00091020051725947,0,0,0,0
"conventions",0.00170357751277683,0.000765696784073507,0,0,0.000921658986175115,0
"count",0.00440368398759992,0,0,0,0,0
"crafted",0.000996528962046263,0,0,0.000798583618731954,0.00107827189073024,0.000359799791315756
"crap",0.00540021294964619,0.00091020051725947,0,0,0,0
"crazy",0.00440368398759992,0,0,0,0,0
"cultural",0.00440368398759992,0,0,0,0,0
"decisions",0.000996528962046263,0.000111975976401446,0,0,0.000539135945365121,0.000215879874789454
"deeply",0.00170357751277683,0,0,0.00068259385665529,0,0.000123016361176036
"definitions",0.00270010647482309,0.000303400172419823,0,0,0,0
"delights",0.00440368398759992,0,0,0,0,0
"describe",0.000996528962046263,0.000111975976401446,0,0,0.000539135945365121,0.000503719707842058
"deserving",0.00270010647482309,0.000606800344839646,0,0,0,0
"designed",0.000996528962046263,0.000111975976401446,0.00122891281664108,0.00159716723746391,0,0
"despite",0.000448099498865066,0.000201404598647622,0,0.000179545669511122,0.000242428023809948,0.000226502748288419
"destroy",0.00440368398759992,0,0,0,0,0
"determination",0.00199305792409253,0,0,0.000399291809365977,0.000539135945365121,7.19599582631512e-05
"differences",0.00270010647482309,0.000606800344839646,0,0,0,0
"different",0.00179239799546026,0.00110772529256192,0.00110518657913359,0.000359091339022244,0,0.000226502748288419
"difficult",0.00270010647482309,0,0,0,0,0.000584928958317563
"easn",0.00270010647482309,0,0,0,0.00146079493154024,0
"easyr",0.00270010647482309,0.000303400172419823,0,0,0,0
"elementsr",0.00270010647482309,0.000303400172419823,0,0,0,0
"else",0.000448099498865066,0.000151053448985716,0.00221037315826717,0.000718182678044488,0,9.70726064093223e-05
"emotion",0.000996528962046263,0.000111975976401446,0,0,0.00107827189073024,0.000287839833052605
"emotional",0.000996528962046263,0.000783831834810125,0,0,0.00107827189073024,0.00100743941568412
"emotionsn",0.00270010647482309,0.000303400172419823,0,0,0,0
"endingsrcons",0.00270010647482309,0.000303400172419823,0,0,0,0
"english",0.00440368398759992,0,0,0,0,0
"enjoy",0.000896198997730132,0.000352458047633338,0,0.000179545669511122,0.000242428023809948,0.000291217819227967
"enjoyable",0.000448099498865066,0.000100702299323811,0,0.000359091339022244,0.000242428023809948,9.70726064093223e-05
"entire",0.000996528962046263,0.000335927929204339,0,0.000399291809365977,0,0.00057567966610521
"environements",0.00270010647482309,0.000303400172419823,0,0,0,0
"episode",0.00270010647482309,0.000303400172419823,0,0,0,0
"eration",0.00440368398759992,0,0,0,0,0
"evern",0.00440368398759992,0,0,0,0,0
"evoke",0.00270010647482309,0.00091020051725947,0,0,0,0
