#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,
72,The-Book-of-Unwritten-Tales-2,19-Feb-15,$29.99,77% (90%,80%),"50,000?..?100,000",00:00 (00:00),KING Art,THQ Nordic,
77,Grandia-II-Anniversary-Edition,24-Aug-15,$19.99,77% (90%,80%),"50,000?..?100,000",00:00 (00:00),"GAME ARTS Co., Ltd., SkyBox Labs","GungHo Online Entertainment America, Inc.",
65,Bowl-Bound-College-Football,3-Sep-15,$19.99,7% (42%,80%),"0?..?20,000",00:00 (00:00),Grey Dog Software,Viva Meda,
68,Card-Hunter,13-Jul-15,Free,66% (86%,80%),"500,000?..?1,000,000",13:33 (26:40),Blue Manchu,Blue Manchu,
70,DARIUSBURST-Chronicle-Saviours,3-Dec-15,$49.99,63% (85%,80%),"20,000?..?50,000",00:50 (00:16),Pyramid,"Degica, Chara-Ani",
59,Volume,18-Aug-15,$19.99,58% (83%,80%),"100,000?..?200,000",02:12 (00:44),Bithell Games,Bithell Games,
63,Total-War-ATTILA,17-Feb-15,$44.99,38% (73%,80%),"1,000,000?..?2,000,000",07:43 (05:04),CREATIVE ASSEMBLY,SEGA,
74,Elite-Dangerous,2-Apr-15,$29.99,30% (68%,80%),"1,000,000?..?2,000,000",09:44 (04:25),Frontier Developments,Frontier Developments,
62,The-Corporate-Machine,25-Mar-15,$9.99,25% (65%,80%),"20,000?..?50,000",00:00 (00:00),Stardock Entertainment,Stardock Entertainment,
73,ArcheAge,26-Mar-15,Free,12% (51%,80%),"1,000,000?..?2,000,000",05:44 (10:30),XLGAMES,Trion Worlds,
75,Company-of-Heroes-2-The-British-Forces,2-Sep-15,$69.99,"0 (0""",80%),"000""",00:00 (00:00),"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",
81,Assault-Android-Cactus,23-Sep-15,$14.99,93% (95%,79%),"50,000?..?100,000",01:04 (00:42),Witch Beam,Witch Beam,
87,The-Magic-Circle,9-Jul-15,$19.99,80% (91%,79%),"100,000?..?200,000",00:52 (00:34),Question,Question,
80,DARK-SOULS-II-Scholar-of-the-First-Sin,1-Apr-15,$39.99,66% (86%,79%),"1,000,000?..?2,000,000",05:34 (02:12),"FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc",
82,BADLAND-Game-of-the-Year-Edition,26-May-15,$9.99,60% (84%,79%),"100,000?..?200,000",00:37 (00:30),Frogmind,Frogmind,
88,else-heartbreak(),24-Sep-15,$24.99,58% (83%,79%),"200,000?..?500,000",26:39 (08:53),"Erik Svedäng, El Huervo / Niklas ?kerblad, Tobias Sjögren, Oscar ""Ratvader"" Rydelius, Johannes Gotlén",Erik Svedäng AB,
85,Warhammer-End-Times---Vermintide,23-Oct-15,$29.99,56% (82%,79%),"1,000,000?..?2,000,000",03:31 (05:36),Fatshark,Fatshark,
84,Jotun-Valhalla-Edition,29-Sep-15,$14.99,51% (80%,79%),"2,000,000?..?5,000,000",00:48 (00:41),Thunder Lotus Games,Thunder Lotus Games,
78,STASIS,31-Aug-15,$9.99,47% (78%,79%),"50,000?..?100,000",00:00 (00:00),THE BROTHERHOOD,"THE BROTHERHOOD, Daedalic Entertainment",
86,iRacing,12-Jan-15,$9.99,43% (76%,79%),"20,000?..?50,000",08:27 (11:15),"iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing",
79,Frozen-Cortex,19-Feb-15,$24.99,41% (75%,79%),"20,000?..?50,000",00:00 (00:00),Mode 7,Mode 7,
83,The-Incredible-Adventures-of-Van-Helsing-Final-Cut,6-Nov-15,$44.99,30% (68%,79%),"200,000?..?500,000",08:57 (05:57),NeocoreGames,NeocoreGames,
95,Human-Resource-Machine,15-Oct-15,$9.99,90% (94%,78%),"200,000?..?500,000",10:08 (06:45),Tomorrow Corporation,Tomorrow Corporation,
