X.,Game,Url,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.
53,140,140,$4.99,90% (94%/80%),"100,000?..?200,000",01:03 (00:41),Carlsen Games,Carlsen Games
171,"10,000,000","10,000,000",$4.99,77% (90%/67%),"100,000?..?200,000",01:15 (01:12),EightyEightGames,EightyEightGames
245,1953 - KGB Unleashed,1953---KGB-Unleashed,$5.99,23% (63%),"100,000?..?200,000",00:00 (00:00),,United Independent Entertainment GmbH
312,3079 -- Block Action RPG,3079----Block-Action-RPG,$4.99,12% (51%),"50,000?..?100,000",00:16 (00:05),Phr00t's Software,Phr00t's Software
261,7 Days to Die,7-Days-to-Die,$24.99,49% (79%),"2,000,000?..?5,000,000",09:38 (02:35),The Fun Pimps,The Fun Pimps Entertainment LLC
500,7 Grand Steps: What Ancients Begat,7-Grand-Steps-What-Ancients-Begat,$19.99,18% (59%),"100,000?..?200,000",00:00 (00:00),Mousechief,Mousechief
479,9.03m,903m,Free,56% (82%),"20,000?..?50,000",00:00 (00:00),Space Budgie,Space Budgie
503,99 Spirits,99-Spirits,$9.99,39% (74%),"50,000?..?100,000",00:00 (00:00),TORaIKI,Fruitbat Factory
163,A Valley Without Wind 2,A-Valley-Without-Wind-2,$14.99,10% (48%/68%),"100,000?..?200,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC"
174,A Walk in the Dark,A-Walk-in-the-Dark,$6.99,53% (81%/67%),"20,000?..?50,000",00:00 (00:00),,
132,Aarklash: Legacy,Aarklash-Legacy,$15.99,47% (78%/72%),"50,000?..?100,000",00:00 (00:00),Cyanide Studio,Bigben Interactive
81,Ace Combat Assault Horizon - Enhanced Edition,Ace-Combat-Assault-Horizon---Enhanced-Edition,$19.99,19% (60%/77%),"200,000?..?500,000",00:54 (01:09),NAMCO,BANDAI NAMCO Entertainment
501,Affairs of the Court: Choice of Romance,Affairs-of-the-Court-Choice-of-Romance,$5.99,43% (76%),"0?..?20,000",00:00 (00:00),Choice of Games,Choice of Games
400,Age of Conan: Unchained,Age-of-Conan-Unchained,Free,31% (69%),"500,000?..?1,000,000",05:54 (03:56),Funcom,Funcom
166,Age of Empires II HD,Age-of-Empires-II-HD,$19.99,90% (94%/68%),"5,000,000?..?10,000,000",03:38 (01:47),"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",Microsoft Studios
383,Agricultural Simulator 2013 - Steam Edition,Agricultural-Simulator-2013---Steam-Edition,$9.99,2% (22%),"50,000?..?100,000",00:40 (00:13),Actalogic,United Independent Entertainment GmbH
325,Agricultural Simulator: Historical Farming,Agricultural-Simulator-Historical-Farming,$9.99,1% (12%),"50,000?..?100,000",00:00 (00:00),Actalogic,United Independent Entertainment GmbH
234,Air Conflicts: Vietnam,Air-Conflicts-Vietnam,$14.99,3% (27%/43%),"20,000?..?50,000",00:00 (00:00),Games Farm,Games Farm
270,Airport Simulator 2014,Airport-Simulator-2014,$9.99,1% (10%),"50,000?..?100,000",00:00 (00:00),United Independent Entertainment GmbH,United Independent Entertainment GmbH
251,Alex Hunter - Lord of the Mind Platinum Edition,Alex-Hunter---Lord-of-the-Mind-Platinum-Edition,$6.99,53% (81%),"50,000?..?100,000",03:31 (01:10),Alawar,Viva Media
227,Alien Rage - Unlimited,Alien-Rage---Unlimited,$19.99,34% (71%/52%),"200,000?..?500,000",00:08 (00:02),CI Games,CI Games
420,Alien Spidy,Alien-Spidy,$9.99,12% (51%),"20,000?..?50,000",00:00 (00:00),Enigma SP,Kalypso Media Digital
221,Alone in the Dark,Alone-in-the-Dark,$9.99,9% (46%/55%),"20,000?..?50,000",00:00 (00:00),"Eden Games, Hydravision Entertainment",THQ Nordic
185,Alone in the Dark: The New Nightmare,Alone-in-the-Dark-The-New-Nightmare,$6.99,19% (60%/66%),"20,000?..?50,000",00:08 (00:02),"Darkworks, Spiral House",THQ Nordic
362,America's Army: Proving Grounds,Americas-Army-Proving-Grounds,Free,45% (77%),"2,000,000?..?5,000,000",02:17 (02:12),U.S. Army,U.S. Army
131,Amnesia: A Machine for Pigs,Amnesia-A-Machine-for-Pigs,$19.99,25% (65%/72%),"2,000,000?..?5,000,000",04:50 (06:20),The Chinese Room,Frictional Games
80,Anachronox,Anachronox,$6.99,51% (80%/77%),"200,000?..?500,000",00:00 (00:00),,Square Enix
487,Angelica Weaver: Catch Me When You Can,Angelica-Weaver-Catch-Me-When-You-Can,$13.99,36% (72%),"20,000?..?50,000",00:00 (00:00),MumboJumbo,MumboJumbo
321,Angry Birds Space,Angry-Birds-Space,$4.99,74% (89%),"20,000?..?50,000",00:00 (00:00),Rovio Entertainment Ltd,Rovio Entertainment Ltd
83,Angry Video Game Nerd Adventures,Angry-Video-Game-Nerd-Adventures,$4.99,77% (90%/77%),"100,000?..?200,000",00:06 (00:02),FreakZone Games,Screenwave Media
102,Anna - Extended Edition,Anna---Extended-Edition,$9.99,27% (66%/75%),"200,000?..?500,000",00:48 (00:31),Dreampainters,Kalypso Media Digital
101,Anodyne,Anodyne,$9.99,71% (88%/75%),"100,000?..?200,000",00:00 (00:00),"Sean Han Tani, Marina Kittaka",Analgesic Productions
91,Anomaly 2,Anomaly-2,$14.99,47% (78%/77%),"200,000?..?500,000",03:18 (01:06),11 bit studios,11 bit studios
280,Anomaly Korea,Anomaly-Korea,$4.99,30% (68%),"100,000?..?200,000",01:59 (01:02),11 bit studios,11 bit studios
380,Anomaly Warzone Earth Mobile Campaign,Anomaly-Warzone-Earth-Mobile-Campaign,$4.99,47% (78%),"100,000?..?200,000",00:52 (01:08),11 bit studios,11 bit studios
273,Another World ??20th Anniversary Edition,Another-World-??20th-Anniversary-Edition,$9.99,63% (85%),"100,000?..?200,000",00:00 (00:00),"Eric Chahi, DotEmu",The Digital Lounge
34,Antichamber,Antichamber,$19.99,93% (95%/82%),"1,000,000?..?2,000,000",01:04 (00:56),Alexander Bruce,Demruth
112,Arma 3,Arma-3,$39.99,74% (89%/74%),"2,000,000?..?5,000,000",12:24 (03:18),Bohemia Interactive,Bohemia Interactive
232,Arma Tactics,Arma-Tactics,$8.99,4% (34%/47%),"200,000?..?500,000",02:23 (01:35),Bohemia Interactive,Bohemia Interactive
179,Armada 2526 Gold Edition,Armada-2526-Gold-Edition,$19.99,18% (59%/66%),"20,000?..?50,000",00:00 (00:00),Ntronium Games,Iceberg Interactive
427,Artemis Spaceship Bridge Simulator,Artemis-Spaceship-Bridge-Simulator,$6.99,71% (88%),"50,000?..?100,000",00:00 (00:00),,
396,Assassin's  Creed IV Black Flag,Assassins-Creed-IV-Black-Flag,$19.99,68% (87%),"1,000,000?..?2,000,000",03:33 (01:57),Ubisoft Montreal,Ubisoft
368,A-Train 8,A-Train-8,$19.99,N/A (N/A),"0?..?20,000",00:00 (00:00),ARTDINK,Degica
39,Avadon 2: The Corruption,Avadon-2-The-Corruption,$9.99,63% (85%/82%),"50,000?..?100,000",00:00 (00:00),Spiderweb Software,Spiderweb Software
230,Bad Bots,Bad-Bots,$4.99,31% (69%/49%),"20,000?..?50,000",00:00 (00:00),Point Five Projects,Digital Tribe
510,Bad Hotel,Bad-Hotel,$4.99,3% (30%),"50,000?..?100,000",00:00 (00:00),Lucky Frame,Lucky Frame
73,Baldur's Gate II: Enhanced Edition,Baldurs-Gate-Enhanced-Edition,$19.99,63% (85%/78%),"500,000?..?1,000,000",07:27 (07:26),Beamdog,Beamdog
78,Baldur's Gate: Enhanced Edition,Baldurs-Gate-II-Enhanced-Edition,$19.99,63% (85%/78%),"500,000?..?1,000,000",26:37 (05:11),Beamdog,Beamdog
496,Ballpoint Universe - Infinite,Ballpoint-Universe---Infinite,$3.99,68% (87%),"100,000?..?200,000",00:00 (00:00),Arachnid Games,Arachnid Games
114,Batman: Arkham Origins,Batman-Arkham-Origins,$19.99,60% (84%/74%),"2,000,000?..?5,000,000",02:42 (01:23),"WB Games Montreal, Splash Damage",Warner Bros. Interactive Entertainment
143,Battle Worlds: Kronos,Battle-Worlds-Kronos,$19.99,23% (63%/71%),"20,000?..?50,000",00:00 (00:00),KING Art,"KING Art, THQ Nordic"
358,Battleship,Battleship,$9.99,N/A (N/A),"0?..?20,000",00:00 (00:00),"Sperasoft, Inc.",PopCap
352,Beast Boxing Turbo,Beast-Boxing-Turbo,$4.99,68% (87%),"20,000?..?50,000",00:00 (00:00),,
105,Beatbuddy: Tale of the Guardians,Beatbuddy-Tale-of-the-Guardians,$9.99,66% (86%/75%),"200,000?..?500,000",04:12 (01:24),Threaks,Threaks
199,bientot-lete,bientot-lete,$9.99,13% (52%/62%),"20,000?..?50,000",00:00 (00:00),Tale of Tales,Tale of Tales
146,Bionic Dues,Bionic-Dues,$9.99,63% (85%/71%),"200,000?..?500,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC"
1,BioShock Infinite,BioShock-Infinite,$29.99,93% (95%/94%),"2,000,000?..?5,000,000",03:00 (01:02),"Irrational Games, Aspyr (Mac), Virtual Programming (Linux)","2K, Aspyr (Mac)"
116,BIT.TRIP FATE,BITTRIP-FATE,$9.99,22% (62%/74%),"20,000?..?50,000",00:15 (00:05),Gaijin Games,Gaijin Games
18,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,bittrip-presentsrunner2-future-legend-of-rhythm-alien,$14.99,87% (93%/85%),"200,000?..?500,000",00:39 (00:57),Gaijin Games,Gaijin Games
267,Bleed,Bleed,$4.99,84% (92%),"100,000?..?200,000",00:00 (00:00),Ian Campbell,Ian Campbell
246,Blockland,Blockland,$9.99,28% (67%),"500,000?..?1,000,000",52:12 (34:48),"Eric Hartman, Ben Garney, Anthony Rotondo",Step 1 Games LLC
271,Blood Knights,Blood-Knights,$9.99,25% (65%),"50,000?..?100,000",01:33 (01:01),Deck 13,Kalypso Media Digital
187,Blood of the Werewolf,Blood-of-the-Werewolf,$1.99,21% (61%/65%),"50,000?..?100,000",00:00 (00:00),Scientifically Proven,Scientifically Proven
388,Blood Omen 2: Legacy of Kain,Blood-Omen-2-Legacy-of-Kain,$6.99,30% (68%),"100,000?..?200,000",00:27 (00:09),,Square Enix
252,Bloody Trapland,Bloody-Trapland,$9.99,60% (84%),"500,000?..?1,000,000",00:47 (00:48),2Play,2Play
466,Bridge Constructor,Bridge-Constructor,$9.99,41% (75%),"200,000?..?500,000",04:12 (03:58),ClockStone,Headup Games
274,Bridge It +,Bridge-It-+,$6.99,23% (63%),"20,000?..?50,000",00:00 (00:00),Chronic Logic,Libredia Entertainment
292,Bridge Project,Bridge-Project,$19.99,10% (48%),"100,000?..?200,000",00:00 (00:00),Halycon Media GmbH & Co. KG,THQ Nordic
444,Broken Sword 5 - the Serpent's Curse,Broken-Sword-5---the-Serpents-Curse,$24.99,68% (87%),"200,000?..?500,000",00:32 (00:36),Revolution Software Ltd,Revolution Software Ltd
7,Brothers - A Tale of Two Sons,brothers-a-tale-of-two-sons,$14.99,90% (94%/90%),"1,000,000?..?2,000,000",30:56 (91:01),Starbreeze Studios AB,505 Games
57,Brutal Legend,Brutal-Legend,$14.99,90% (94%/80%),"2,000,000?..?5,000,000",02:06 (01:21),Double Fine Productions,Double Fine Productions
354,Bunny Must Die! Chelsea and the 7 Devils,Bunny-Must-Die!-Chelsea-and-the-7-Devils,$9.99,30% (68%),"20,000?..?50,000",00:00 (00:00),Platine Dispositif,"Rockin' Android, Rockin Android"
324,Bus-Simulator 2012,Bus-Simulator-2012,$9.99,4% (34%),"50,000?..?100,000",00:00 (00:00),TML-Studios,astragon Entertainment
359,Call of Duty: Ghosts - Digital Hardened Edition,Call-of-Duty-Ghosts---Digital-Hardened-Edition,$99.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Infinity Ward,Activision
333,Castle of Illusion,Castle-of-Illusion,$14.99,74% (89%),"100,000?..?200,000",00:28 (00:18),"SEGA Studios Australia, Feral Interactive (Mac)","SEGA, Feral Interactive (Mac)"
124,CastleStorm,CastleStorm,$9.99,74% (89%/73%),"100,000?..?200,000",00:00 (00:00),Zen Studios,Zen Studios
476,Castlevania: Lords of Shadow ??Ultimate Edition,Castlevania-Lords-of-Shadow-??Ultimate-Edition,$29.99,49% (79%),"200,000?..?500,000",02:43 (03:37),MercurySteam - Climax Studios,Konami Digital Entertainment
326,Chainsaw Warrior,Chainsaw-Warrior,$4.99,30% (68%),"100,000?..?200,000",00:00 (00:00),Auroch Digital,Auroch Digital
356,Champions of Regnum,Champions-of-Regnum,Free,21% (61%),"200,000?..?500,000",00:00 (00:00),NGD Studios,NGD Studios
240,Citadels,Citadels,$14.99,1% (13%/20%),"20,000?..?50,000",00:00 (00:00),Games Distillery s.r.o.,HandyGames
133,Cities in Motion 2,Cities-in-Motion-2,$19.99,17% (58%/72%),"500,000?..?1,000,000",01:57 (02:20),Colossal Order Ltd.,Paradox Interactive
258,Cities XL Platinum,Cities-XL-Platinum,$9.99,15% (55%),"200,000?..?500,000",00:34 (00:22),Focus Home Interactive,Focus Home Interactive
170,Cloudberry Kingdom,Cloudberry-Kingdom,$9.99,77% (90%/67%),"20,000?..?50,000",00:00 (00:00),Pwnee Studios,Ubisoft
327,Cognition: An Erica Reed Thriller,Cognition-An-Erica-Reed-Thriller,$14.99,56% (82%),"50,000?..?100,000",00:00 (00:00),Phoenix Online Studios,Phoenix Online Publishing
58,Company of Heroes 2,Company-of-Heroes-2,$19.99,41% (75%/80%),"2,000,000?..?5,000,000",05:49 (02:27),"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
486,Construct 2,Construct-2,Free,71% (88%),"500,000?..?1,000,000",02:47 (01:23),Scirra,Scirra
198,Contagion,Contagion,$9.99,39% (74%/62%),"1,000,000?..?2,000,000",02:00 (01:26),"Monochrome, Inc","Monochrome, Inc"
201,Contrast,Contrast,$9.99,77% (90%/62%),"200,000?..?500,000",00:55 (00:18),Compulsion Games,Focus Home Interactive
513,"Cook, Serve, Delicious!",Cook-Serve-Delicious!,$9.99,93% (95%),"200,000?..?500,000",00:26 (00:34),Vertigo Gaming Inc.,Vertigo Gaming Inc.
264,Cranky Cat,Cranky-Cat,$2.99,N/A (N/A),"0?..?20,000",00:00 (00:00),March Entertainment,March Entertainment
369,Cry of Fear,Cry-of-Fear,Free,63% (85%),"2,000,000?..?5,000,000",02:59 (01:06),Team Psykskallar,Team Psykskallar
167,Cubemen 2,Cubemen-2,$7.99,34% (71%/68%),"100,000?..?200,000",00:00 (00:00),3 Sprockets,3 Sprockets
107,Cubetractor,Cubetractor,$9.99,74% (89%/75%),"200,000?..?500,000",00:08 (00:02),Ludochip,Ludochip
382,Cut the Rope,Cut-the-Rope,$4.99,74% (89%),"0?..?20,000",00:00 (00:00),Zeptolab UK Limited,Zeptolab UK Limited
392,Daikatana,Daikatana,$6.99,24% (64%),"200,000?..?500,000",00:22 (00:07),,Square Enix
235,DARK,DARK,$9.99,10% (47%/41%),"50,000?..?100,000",00:00 (00:00),Realmforge Studios,Kalypso Media Digital
376,Dark Angels: Masquerade of Shadows,Dark-Angels-Masquerade-of-Shadows,$3.99,97% (97%),"0?..?20,000",00:00 (00:00),Skywind Games,Alawar Entertainment
181,Dark Fall 2: Lights Out,Dark-Fall-2-Lights-Out,$4.99,N/A (N/A/66%),"20,000?..?50,000",00:00 (00:00),Darkling Room,THQ Nordic
162,Dark Fall: The Journal,Dark-Fall-The-Journal,$4.99,39% (74%/68%),"50,000?..?100,000",00:00 (00:00),Darkling Room,THQ Nordic
464,Dark Matter,Dark-Matter,$9.99,7% (40%),"0?..?20,000",00:00 (00:00),InterWave Studios,Iceberg Interactive
512,Darkfall Unholy Wars,Darkfall-Unholy-Wars,N/A,25% (65%),"0?..?20,000",00:00 (00:00),Aventurine SA,Aventurine
222,Darkout,Darkout,$14.99,14% (54%/55%),"100,000?..?200,000",00:00 (00:00),Allgraf,KISS ltd
502,DayZ,DayZ,$34.99,21% (61%),"2,000,000?..?5,000,000",08:44 (04:14),Bohemia Interactive,Bohemia Interactive
475,DCS World Steam Edition,DCS-World-Steam-Edition,Free,43% (76%),"2,000,000?..?5,000,000",02:56 (00:48),Eagle Dynamics SA,The Fighter Collection
485,Dead Sky,Dead-Sky,$1.99,6% (38%),"20,000?..?50,000",00:00 (00:00),,
223,Deadfall Adventures,Deadfall-Adventures,$19.99,36% (72%/53%),"100,000?..?200,000",00:00 (00:00),The Farm 51,THQ Nordic
211,Deadly Premonition: The Director's Cut,Deadly-Premonition-The-Directors-Cut,$24.99,31% (69%/59%),"200,000?..?500,000",07:49 (02:36),Rising Star Games,Rising Star Games
481,Deathtrap Dungeon,Deathtrap-Dungeon,$6.99,28% (67%),"0?..?20,000",00:00 (00:00),,Square Enix
194,Defense Technica,Defense-Technica,$14.99,6% (38%/63%),"20,000?..?50,000",00:00 (00:00),Kuno Interactive,Kuno Interactive
238,Dementium II HD,Dementium-II-HD,N/A,9% (46%/37%),"50,000?..?100,000",00:00 (00:00),Memetic Games,Missing Link Games
148,Democracy 3,Democracy-3,$24.99,38% (73%/70%),"500,000?..?1,000,000",01:29 (01:14),Positech Games,Positech Games
266,Demonicon,Demonicon,$9.99,27% (66%),"100,000?..?200,000",04:19 (01:26),Noumena Studios,Kalypso Media Digital
40,Desktop Dungeons,Desktop-Dungeons,$14.99,77% (90%/82%),"100,000?..?200,000",00:05 (00:01),QCF Design,QCF Design
76,Desperados: Wanted Dead or Alive,Desperados-Wanted-Dead-or-Alive,$4.99,41% (75%/78%),"100,000?..?200,000",10:28 (04:15),Spellbound,THQ Nordic
4,Deus Ex: Human Revolution - Director's Cut,Deus-Ex-Human-Revolution---Directors-Cut,$19.99,80% (91%/91%),"1,000,000?..?2,000,000",05:24 (03:16),"Eidos Montreal, Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)"
127,Divekick,Divekick,$4.99,77% (90%/73%),"200,000?..?500,000",00:00 (00:00),Iron Galaxy,Iron Galaxy
282,Divinity: Dragon Commander,Divinity-Dragon-Commander,$39.99,38% (73%),"200,000?..?500,000",02:15 (01:29),Larian Studios,Larian Studios
442,DIVO,DIVO,$4.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Internal Games,Internal Games
334,DLC Quest,DLC-Quest,$2.99,71% (88%),"200,000?..?500,000",01:20 (00:41),Going Loud Studios,Going Loud Studios
24,DmC: Devil May Cry,DmC-Devil-May-Cry,$29.99,90% (94%/85%),"1,000,000?..?2,000,000",02:45 (02:27),Ninja Theory,Capcom
35,Dominions 3: The Awakening,Dominions-3-The-Awakening,$19.99,47% (78%/82%),"0?..?20,000",00:00 (00:00),Illwinter Game Design,Illwinter Game Design
385,Dominions 4: Thrones of Ascension,Dominions-4-Thrones-of-Ascension,$34.99,77% (90%),"50,000?..?100,000",00:37 (00:12),Illwinter Game Design,Illwinter Game Design
384,Doorways: Prelude,Doorways-Prelude,$9.99,21% (61%),"50,000?..?100,000",01:18 (00:26),Saibot Studios,Saibot Studios
6,Dota 2,Dota-2,Free,66% (86%/90%),"100,000,000?..?200,000,000",25:45 (12:33),Valve,Valve
462,Dracula: Love Kills,Dracula-Love-Kills,$9.99,51% (80%),"20,000?..?50,000",00:00 (00:00),Waterlily Games,Frogwares
377,Dragon's Lair,Dragons-Lair,$9.99,47% (78%),"50,000?..?100,000",00:00 (00:00),Digital Leisure Inc.,Digital Leisure Inc.
250,Dragon's Lair 2: Time Warp,Dragons-Lair-2-Time-Warp,$9.99,56% (82%),"0?..?20,000",00:00 (00:00),Digital Leisure Inc.,Digital Leisure Inc.
193,Dragon's Prophet,Dragons-Prophet,Free,31% (69%/63%),"200,000?..?500,000",00:00 (00:00),Runewaker,Infernum Productions AG
488,Draw a Stickman: EPIC,Draw-a-Stickman-EPIC,$3.99,45% (77%),"100,000?..?200,000",00:00 (00:00),Hitcents,Hitcents
506,Driver Fusion - The Best Driver & Device Solution,Driver-Fusion---The-Best-Driver-Device-Solution,Free,28% (67%),"0?..?20,000",00:10 (00:06),Treexy,Treexy
287,Droid Assault,Droid-Assault,$9.99,60% (84%),"50,000?..?100,000",00:00 (00:00),Puppygames,Puppygames
180,DuckTales: Remastered,DuckTales-Remastered,$14.99,66% (86%/66%),"200,000?..?500,000",00:18 (00:06),WayForward,Capcom
119,Dungeon Hearts,Dungeon-Hearts,$2.99,28% (67%/73%),"50,000?..?100,000",00:00 (00:00),Cube Roots,Devolver Digital
307,Dungeon-Party,Dungeon-Party,Free,7% (40%),"200,000?..?500,000",00:00 (00:00),Cyanide Studio,Bigben Interactive
423,Dungeons & Dragons: Chronicles of Mystara,Dungeons-Dragons-Chronicles-of-Mystara,$14.99,51% (80%),"100,000?..?200,000",01:48 (01:48),Iron Galaxy Studios,Capcom
456,Dust: An Elysian Tail,Dust-An-Elysian-Tail,$14.99,95% (96%),"1,000,000?..?2,000,000",01:25 (00:47),Humble Hearts LLC,Microsoft Studios
50,Dyad,Dyad,$14.99,47% (78%/80%),"20,000?..?50,000",00:00 (00:00),][ Games Inc,Shawn McGrath
313,Dysfunctional Systems: Learning to Manage Chaos,Dysfunctional-Systems-Learning-to-Manage-Chaos,$4.99,45% (77%),"50,000?..?100,000",00:00 (00:00),Dischan Media,Dischan Media
115,Eador. Masters of the Broken World,Eador-Genesis,$19.99,27% (66%/74%),"1,000,000?..?2,000,000",02:50 (02:28),Snowbird Games,Snowbird Games
254,Eador: Genesis,Eador-Masters-of-the-Broken-World,$5.99,58% (83%),"50,000?..?100,000",00:00 (00:00),"Alexey Bokulev, Snowbird Games",Snowbird Games
374,Earth 2140,Earth-2140,$4.99,14% (54%),"200,000?..?500,000",03:58 (05:12),Reality Pump Studios,"Topware Interactive ACE, ACE"
77,Earth 2150 Trilogy,Earth-2150-Trilogy,$6.99,31% (69%/78%),"2,000,000?..?5,000,000",02:48 (03:06),Reality Pump Studios,"Topware Interactive, ACE"
299,Edna & Harvey: The Breakout,Edna-Harvey-The-Breakout,$14.99,56% (82%),"200,000?..?500,000",00:30 (00:20),Daedalic Entertainment,Daedalic Entertainment
405,Elder Sign: Omens,Elder-Sign-Omens,$14.99,45% (77%),"20,000?..?50,000",00:00 (00:00),"Fantasy Flight Publishing, Inc.","Fantasy Flight Publishing, Inc."
84,Eldritch,Eldritch,$14.99,71% (88%/77%),"200,000?..?500,000",00:35 (00:45),Minor Key Games,Minor Key Games
480,Electronic Super Joy,Electronic-Super-Joy,$7.99,77% (90%),"100,000?..?200,000",00:49 (00:57),Michael Todd Games,Michael Todd Games
86,Element4l,Element4l,$8.99,60% (84%/77%),"50,000?..?100,000",00:01 (00:00),I-Illusions,I-Illusions
499,Eleusis,Eleusis,$14.99,22% (62%),"20,000?..?50,000",00:01 (00:00),Nocturnal works,Nocturnal works
331,Emergency 2014,Emergency-2014,$9.99,16% (57%),"50,000?..?100,000",01:13 (00:24),Sixteen Tons Entertainment,Sixteen Tons Entertainment
144,Enclave,Enclave,$4.99,38% (73%/71%),"1,000,000?..?2,000,000",03:42 (05:16),Starbreeze,Topware Interactive
151,ENSLAVED: Odyssey to the West Premium Edition,ENSLAVED-Odyssey-to-the-West-Premium-Edition,$19.99,63% (85%/70%),"200,000?..?500,000",00:37 (00:12),Ninja Theory,BANDAI NAMCO Entertainment
293,Eryi's Action,Eryis-Action,$4.99,74% (89%),"50,000?..?100,000",00:00 (00:00),Xtal Sword,Xtal Sword
276,Escape Goat,Escape-Goat,$4.99,97% (97%),"20,000?..?50,000",02:08 (01:03),MagicalTimeBean,MagicalTimeBean
445,Euro Truck Simulator,Euro-Truck-Simulator,$4.99,49% (79%),"1,000,000?..?2,000,000",00:46 (01:01),SCS Software,SCS Software
11,Europa Universalis IV,Europa-Universalis-IV,$39.99,56% (82%/87%),"1,000,000?..?2,000,000",10:42 (04:45),Paradox Development Studio,Paradox Interactive
206,Evoland,Evoland,$9.99,58% (83%/61%),"200,000?..?500,000",00:51 (00:29),Shiro Games,Shiro Games
79,Expeditions: Conquistador,Expeditions-Conquistador,$19.99,49% (79%/77%),"100,000?..?200,000",22:17 (14:16),Logic Artists,THQ Nordic
209,Face Noir,Face-Noir,$9.99,22% (62%/59%),"50,000?..?100,000",03:31 (01:10),Mad Orange,Phoenix Online Publishing
59,Fallen Enchantress: Legendary Heroes,Fallen-Enchantress-Legendary-Heroes,$24.99,47% (78%/80%),"200,000?..?500,000",19:08 (06:22),Stardock Entertainment,Stardock Entertainment
47,Far Cry 3 - Blood Dragon,Far-Cry-3---Blood-Dragon,$14.99,71% (88%/81%),"1,000,000?..?2,000,000",01:13 (00:49),Ubisoft Montreal,Ubisoft
424,Farming Giant,Farming-Giant,$1.99,2% (19%),"20,000?..?50,000",00:00 (00:00),Actalogic,Toplitz Productions
379,Farming Simulator 2013 Titanium Edition,Farming-Simulator-2013-Titanium-Edition,$14.99,77% (90%),"200,000?..?500,000",00:26 (00:33),Giants Software,Giants Software
60,FATE,FATE,$7.99,84% (92%/80%),"100,000?..?200,000",00:07 (00:02),WildTangent,WildTangent
98,Fester Mudd: Curse of the Gold - Episode 1,Fester-Mudd-Curse-of-the-Gold---Episode-1,$9.99,36% (72%/76%),"20,000?..?50,000",00:00 (00:00),,
3,FEZ,FEZ,$9.99,84% (92%/91%),"1,000,000?..?2,000,000",04:34 (03:50),Polytron Corporation,Trapdoor
117,Fieldrunners 2,Fieldrunners-2,$9.99,66% (86%/73%),"100,000?..?200,000",01:33 (00:31),Subatomic Studios LLC,Subatomic Studios LLC
178,Final Exam,Final-Exam,$9.99,66% (86%/66%),"100,000?..?200,000",01:38 (00:32),Mighty Rocket Studio,Focus Home Interactive
471,FINAL FANTASY VII,FINAL-FANTASY-VII,$11.99,84% (92%),"1,000,000?..?2,000,000",01:47 (01:11),Square Enix,Square Enix
386,FINAL FANTASY VIII,FINAL-FANTASY-VIII,$11.99,74% (89%),"500,000?..?1,000,000",00:13 (00:04),Square Enix,Square Enix
399,FINAL FANTASY XI: Ultimate Collection Seekers Edition,FINAL-FANTASY-XI-Ultimate-Collection-Seekers-Edition,$9.89,60% (84%),"20,000?..?50,000",41:52 (27:54),Square Enix,Square Enix
401,Finding Teddy,Finding-Teddy,$6.99,56% (82%),"100,000?..?200,000",00:00 (00:00),Storybird,"LookAtMyGame, Plug In Digital"
126,Fist Puncher,Fist-Puncher,$9.99,41% (75%/73%),"20,000?..?50,000",00:00 (00:00),Team2Bit,Adult Swim Games
449,Flashback,Flashback,$9.99,21% (61%),"20,000?..?50,000",00:00 (00:00),,Ubisoft
418,Flashpoint Campaigns: Red Storm Player's Edition,Flashpoint-Campaigns-Red-Storm-Players-Edition,$49.99,80% (91%),"0?..?20,000",00:00 (00:00),On Target Simulations,Slitherine Ltd.
304,FORCED: Slightly Better Edition,FORCED-Slightly-Better-Edition,$14.99,41% (75%),"500,000?..?1,000,000",00:28 (00:09),BetaDwarf,BetaDwarf
153,Foul Play,Foul-Play,$14.99,60% (84%/69%),"50,000?..?100,000",00:00 (00:00),"Mediatonic, The Irregular Corporation",Devolver Digital
161,Game Dev Tycoon,Game-Dev-Tycoon,$9.99,93% (95%/68%),"1,000,000?..?2,000,000",03:16 (02:01),Greenheart Games,Greenheart Games
125,Gas Guzzlers Extreme,Gas-Guzzlers-Extreme,$24.99,63% (85%/73%),"200,000?..?500,000",01:14 (01:18),Gamepires,Iceberg Interactive
259,Gentlemen!,Gentlemen!,$4.99,33% (70%),"20,000?..?50,000",00:00 (00:00),Lucky Frame,Blazing Griffin Ltd.
26,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,Giana-Sisters-Twisted-Dreams---Rise-of-the-Owlverlord,$4.99,66% (86%/84%),"100,000?..?200,000",00:00 (00:00),Black Forest Games,"HandyGames, Black Forest Games"
