X.,Game,Url,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.
303,Small World 2,Small-World-2,$9.99,39% (74%),"100,000?..?200,000",04:01 (01:20),Days of Wonder,"Days of Wonder, Asmodee Digital"
196,Sniper Elite: Nazi Zombie Army,Sniper-Elite-Nazi-Zombie-Army,$14.99,71% (88%/62%),"200,000?..?500,000",00:00 (00:00),Rebellion,Rebellion
225,Sniper Elite: Nazi Zombie Army 2,Sniper-Elite-Nazi-Zombie-Army-2,$14.99,60% (84%/53%),"200,000?..?500,000",01:22 (00:54),,Rebellion
226,Sniper: Ghost Warrior 2,Sniper-Ghost-Warrior-2,$9.99,33% (70%/52%),"1,000,000?..?2,000,000",01:10 (00:17),City Interactive,CI Games
473,SNOW,SNOW,Free,27% (66%),"1,000,000?..?2,000,000",09:24 (02:22),Poppermost Productions,Poppermost Productions
402,Solar Flux,Solar-Flux,$9.99,49% (79%),"100,000?..?200,000",02:16 (00:45),Firebrand Games,Firebrand Games
441,Soldier Front 2,Soldier-Front-2,Free,49% (79%),"500,000?..?1,000,000",00:00 (00:00),Dragonfly,Aeria Games
71,Soundodger+,Soundodger+,$7.99,80% (91%/78%),"50,000?..?100,000",00:31 (00:16),Studio Bean,Adult Swim Games
514,Space Ace,Space-Ace,$9.99,80% (91%),"0?..?20,000",00:00 (00:00),Digital Leisure Inc.,Digital Leisure Inc.
315,Space Engineers,Space-Engineers,$24.99,68% (87%),"2,000,000?..?5,000,000",06:57 (02:05),Keen Software House,Keen Software House
213,Space Hulk,Space-Hulk,$24.99,31% (69%/58%),"200,000?..?500,000",00:00 (00:00),Full Control Studios,Full Control
168,Space Rangers HD: A War Apart,Space-Rangers-HD-A-War-Apart,$14.99,90% (94%/68%),"100,000?..?200,000",02:53 (02:01),"SNK Games, Elemental Games, Katauri Interactive",1C Entertainment
241,Spaceforce Constellations,Spaceforce-Constellations,$9.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Dreamatrix,Dreamatrix
272,Sparkle 2 Evo,Sparkle-2-Evo,$4.99,36% (72%),"200,000?..?500,000",03:08 (02:05),,Forever Entertainment S. A.
224,Speedball 2 HD,Speedball-2-HD,$9.99,31% (69%/53%),"100,000?..?200,000",00:00 (00:00),Vivid Games,Mastertronic
5,Spelunky,Spelunky,$14.99,80% (91%/90%),"500,000?..?1,000,000",01:40 (01:02),,Mossmouth
109,Star Conflict,Star-Conflict,Free,43% (76%/75%),"2,000,000?..?5,000,000",05:17 (03:58),Star Gem Inc.,Gaijin Entertainment
204,StarDrive,StarDrive,$29.99,7% (41%/61%),"100,000?..?200,000",00:00 (00:00),Zero Sum Games,Iceberg Interactive
30,Starseed Pilgrim,Starseed-Pilgrim,$5.99,43% (76%/83%),"200,000?..?500,000",00:00 (00:00),Droqen,Droqen's Games
16,Startopia,Startopia,$6.99,74% (89%/86%),"200,000?..?500,000",00:00 (00:00),,Square Enix
66,State of Decay,State-of-Decay,N/A,60% (84%/79%),"500,000?..?1,000,000",13:36 (04:32),Undead Labs,Microsoft Studios
93,SteamWorld Dig,SteamWorld-Dig,$9.99,87% (93%/76%),"200,000?..?500,000",00:00 (00:00),Image & Form Games,Image & Form Games
33,Stick it to The Man!,Stick-it-to-The-Man!,$7.99,90% (94%/83%),"20,000?..?50,000",00:00 (00:00),Zoink Games,Ripstone
195,Storm,Storm,$9.99,30% (68%/63%),"20,000?..?50,000",00:00 (00:00),Eko Software,Eko Software
176,Strike Suit Infinity,Strike-Suit-Infinity,$6.99,63% (85%/66%),"100,000?..?200,000",01:22 (00:27),Born Ready Games Ltd.,Born Ready Games
183,Strike Suit Zero,Strike-Suit-Zero,$19.99,51% (80%/66%),"200,000?..?500,000",00:00 (00:00),Born Ready Games Ltd.,Born Ready Games
72,Stronghold Crusader HD,Stronghold-Crusader-HD,$9.99,95% (96%/78%),"1,000,000?..?2,000,000",01:13 (00:43),FireFly Studios,FireFly Studios
41,Stronghold HD,Stronghold-HD,$5.99,87% (93%/81%),"1,000,000?..?2,000,000",00:51 (00:51),FireFly Studios,FireFly Studios
507,Super Amazing Wagon Adventure,Super-Amazing-Wagon-Adventure,$2.99,93% (95%),"100,000?..?200,000",00:31 (00:20),sparsevector,sparsevector
63,Super House of Dead Ninjas,Super-House-of-Dead-Ninjas,$6.99,95% (96%/79%),"100,000?..?200,000",02:19 (04:09),Megadev,Adult Swim Games
332,Super Puzzle Platformer Deluxe,Super-Puzzle-Platformer-Deluxe,$7.99,90% (94%),"50,000?..?100,000",00:11 (00:06),Andrew Morrish,Adult Swim Games
461,Super Sanctum TD,Super-Sanctum-TD,$4.99,68% (87%),"100,000?..?200,000",00:22 (00:07),Coffee Stain Studios,Coffee Stain Publishing
118,Super Splatters,Super-Splatters,$9.99,74% (89%/73%),"100,000?..?200,000",00:00 (00:00),SpikySnail,SpikySnail
140,Surgeon Simulator,Surgeon-Simulator,$9.99,56% (82%/71%),"1,000,000?..?2,000,000",00:12 (00:12),Bossa Studios,Bossa Studios
92,Syder Arcade,Syder-Arcade,$9.99,68% (87%/76%),"100,000?..?200,000",00:00 (00:00),Studio Evil,Studio Evil
2,System Shock 2,System-Shock-2,$9.99,90% (94%/92%),"500,000?..?1,000,000",00:25 (00:36),"Irrational Games, Looking Glass Studios",Nightdive Studios
435,Tales of Maj'Eyal,Tales-of-MajEyal,$6.99,93% (95%),"200,000?..?500,000",10:42 (09:20),Netcore Games,Netcore Games
412,Talisman: Prologue,Talisman-Prologue,$6.99,30% (68%),"200,000?..?500,000",00:00 (00:00),Nomad Games,Nomad Games
393,Tank Operations: European Campaign,Tank-Operations-European-Campaign,$19.99,3% (29%),"20,000?..?50,000",00:00 (00:00),Linked Dimensions,rokapublish
74,Teleglitch: Die More Edition,Teleglitch-Die-More-Edition,$12.99,77% (90%/78%),"500,000?..?1,000,000",00:01 (00:00),Test3 Projects,Paradox Interactive
87,Teslagrad,Teslagrad,$9.99,66% (86%/77%),"200,000?..?500,000",02:09 (02:34),Rain Games,Rain Games
130,Tetrobot and Co.,Tetrobot-and-Co,$9.99,97% (97%/72%),"50,000?..?100,000",00:53 (00:17),Swing Swing Submarine,Swing Swing Submarine
247,The 11th Hour,The-11th-Hour,$5.99,12% (51%),"50,000?..?100,000",00:00 (00:00),Trilobyte Games,Nightdive Studios
429,The 39 Steps,The-39-Steps,$14.99,53% (81%),"200,000?..?500,000",03:27 (04:14),The Story Mechanics,KISS ltd
490,The 7th Guest,The-7th-Guest,$5.99,41% (75%),"50,000?..?100,000",00:00 (00:00),Trilobyte Games,Nightdive Studios
437,The Apogee Throwback Pack,The-Apogee-Throwback-Pack,$9.99,93% (95%),"100,000?..?200,000",00:00 (00:00),Interceptor Entertainment,Apogee Software
175,The Banner Saga: Factions,The-Banner-Saga-Factions,Free,38% (73%/67%),"200,000?..?500,000",02:12 (01:42),Stoic,Versus Evil
113,The Bridge,The-Bridge,$9.99,74% (89%/74%),"500,000?..?1,000,000",00:27 (00:24),"Ty Taylor and Mario Castañeda, The Quantum Astrophysicists Guild",The Quantum Astrophysicists Guild
