#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,,,,,,,
5618,"BLOCK-WARRIORS-""Open-World""-Game",6-Sep-17,$1.99,12% (51%),"50,000?..?100,000",00:00 (00:00),Voltornas Games,Voltornas Games,,,,,,,,
6310,Summer-Nightmare,6-Dec-17,Free,12% (51%),"50,000?..?100,000",00:00 (00:00),Team Summer Nightmare,Elkibe Games,,,,,,,,
6437,The-guard-of-dungeon,7-Mar-17,$2.99,12% (51%),"50,000?..?100,000",02:56 (00:58),HeX,Laush Studio,,,,,,,,
772,Displaced,26-Jul-17,$5.99,12% (51%),"20,000?..?50,000",07:15 (02:25),Gamexy,Alawar Entertainment,,,,,,,,
3123,TAP-TOUCH-RUN,29-Jun-17,$0.99,12% (51%),"20,000?..?50,000",00:00 (00:00),,,,,,,,,,
3938,Birthdays-the-Beginning-/-?ê„Éº?π„??§„Ç∫?ª„Ç∂?ª„??Æ„??≥„Ç∞,9-May-17,$39.99,12% (51%),"20,000?..?50,000",05:01 (03:20),"Arc System Works, TOYBOX Inc.","NIS America, Inc.",,,,,,,,
4004,Premium-Pool-Arena,14-Apr-17,$9.99,12% (51%),"20,000?..?50,000",00:00 (00:00),Iceflake Studios,Iceflake Studios,,,,,,,,
5133,GunFleet,6-Feb-17,N/A,12% (51%),"20,000?..?50,000",00:00 (00:00),Areo Gaming,Areo Gaming,,,,,,,,
807,Warp-Rider,11-Jul-17,$0.99,12% (51%),"0?..?20,000",00:00 (00:00),Electric Root,VT Publishing,,,,,,,,
3753,Dinosis-Survival,7-Jul-17,$4.99,12% (51%),"0?..?20,000",00:00 (00:00),Corpix Games,Corpix Games,,,,,,,,
6047,O!-STRELALKA!!!,24-Aug-17,$0.99,12% (51%),"0?..?20,000",00:00 (00:00),Deep dark fantasy games,ILLUMICORP,,,,,,,,
6541,Party-Tycoon,19-Oct-17,$9.99,12% (51%),"0?..?20,000",01:17 (00:25),"Pinokl Games, Kverta Limited",tinyBuild,,,,,,,,
869,Sniper-Ghost-Warrior-3,24-Apr-17,$19.99,13% (52%),"200,000?..?500,000",02:06 (01:48),CI Games,CI Games,,,,,,,,
3287,Absoloot,15-Mar-17,$3.99,13% (52%),"200,000?..?500,000",03:23 (02:31),Latinas Tomatos,Dagestan Technology,,,,,,,,
6831,Star-Merchant,7-Mar-17,$1.99,13% (52%),"100,000?..?200,000",00:00 (00:00),SimProse Studios,SimProse Studios,,,,,,,,
1696,Castle-Werewolf-3D,7-Feb-17,$2.99,13% (52%),"50,000?..?100,000",03:36 (04:31),Drop_Dead_Fred (–§?–µ–¥),Enjoy Games,,,,,,,,
5305,Deus-Ex-Mankind-Divided---VR-Experience,24-Jan-17,Free,13% (52%),"50,000?..?100,000",00:00 (00:00),Eidos Montreal,Square Enix,,,,,,,,
6255,Machine-Hunt,15-May-17,$2.99,13% (52%),"50,000?..?100,000",00:01 (00:00),Racing Bros,ANPA.US,,,,,,,,
2914,Cowboy-Revenge,9-Jul-17,$0.99,13% (52%),"20,000?..?50,000",00:01 (00:00),,,,,,,,,,
3000,HumanKind-The-Awakening,21-Sep-17,Free,13% (52%),"20,000?..?50,000",00:00 (00:00),"Dark Polygon Ltda., Jalomot Ltda.",Dark Polygon Ltda.,,,,,,,,
6689,Football-Manager-Touch-2018,9-Nov-17,$29.99,13% (52%),"20,000?..?50,000",00:04 (00:01),Sports Interactive,SEGA,,,,,,,,
6695,Ruthless-Safari,12-Aug-17,$0.99,13% (52%),"20,000?..?50,000",00:01 (00:00),SharkGame,Hardcore Studio,,,,,,,,
601,Sovereignty-Crown-of-Kings,2-Feb-17,$24.99,13% (52%),"0?..?20,000",00:00 (00:00),"Gothic Labs, The Lordz Games Studio",Slitherine Ltd.,,,,,,,,
2314,VAULT-OF-HONOR,14-Jul-17,$4.99,13% (52%),"0?..?20,000",00:00 (00:00),Virtual Top,VT Publishing,,,,,,,,
3362,Robinson-The-Journey,9-Feb-17,$29.99,13% (52%),"0?..?20,000",00:00 (00:00),Crytek,Crytek,,,,,,,,
4805,Real-??942??Sep-25," 2017""",$0.99,13% (52%),"0?..?20,000",00:00 (00:00),DDFG,ILLUMICORP,,,,,,,,
4672,Modern-Combat-Versus,19-Dec-17,Free,13% (53%),"500,000?..?1,000,000",66:45 (110:56),Gameloft,Gameloft,,,,,,,,
740,Intelligent-Design-An-Evolutionary-Sandbox,12-May-17,$6.99,13% (53%),"50,000?..?100,000",00:00 (00:00),Pill Bug Interactive,Pill Bug Interactive,,,,,,,,
2081,Cannons-Defenders-Steam-Edition,7-Apr-17,$0.99,13% (53%),"20,000?..?50,000",00:00 (00:00),REX PEX GAMES,REX PEX GAMES,,,,,,,,
4405,Les-Fleursword,23-Aug-17,$1.99,13% (53%),"20,000?..?50,000",00:00 (00:00),MagicHouse,Paradise Project,,,,,,,,
5550,Zoop!---Hunters-Grimm,3-Mar-17,$1.99,13% (53%),"20,000?..?50,000",00:00 (00:00),Warfare Studios,,,,,,,,,
6040,Double-Cubes,18-Jan-17,$4.99,13% (53%),"20,000?..?50,000",00:00 (00:00),Recreat4,Recreat4,,,,,,,,
849,Battlevoid-Sector-Siege,25-Oct-17,$9.99,13% (53%),"0?..?20,000",00:00 (00:00),Bugbyte Ltd.,Bugbyte Ltd.,,,,,,,,
2120,Faces-of-Illusion-The-Twin-Phantoms,19-Jan-17,$9.99,13% (53%),"0?..?20,000",00:00 (00:00),Moonrise Interactive,Artifex Mundi,,,,,,,,
2181,Psi-Project-Legacy,27-Nov-17,$3.99,13% (53%),"0?..?20,000",00:00 (00:00),Vyacheslav Shilikhin,Vyacheslav Shilikhin,,,,,,,,
