#,Game,Games,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,,,,,,,,
56,The Banner Saga 2,The-Banner-Saga-2,19-Apr-16,$24.99,80% (91%,82%),"200,000?..?500,000",03:55 (02:00),Stoic,Versus Evil,,,,,,,,
54,Creepy Castle,Creepy-Castle,31-Oct-16,$14.99,80% (91%,82%),"0?..?20,000",00:00 (00:00),Dopterra,"Nicalis, Inc.",,,,,,,,
52,Atomik: RunGunJumpGun,Atomik:-RunGunJumpGun,31-Aug-16,$7.99,74% (89%,82%),"0?..?20,000",00:00 (00:00),ThirtyThree,Good Shepherd Entertainment,,,,,,,,
53,SUPERHOT,SUPERHOT,25-Feb-16,$24.99,63% (85%,82%),"500,000?..?1,000,000",01:12 (00:32),SUPERHOT Team,SUPERHOT Team,,,,,,,,
58,VIDEOBALL,VIDEOBALL,12-Jul-16,$9.99,63% (85%,82%),"0?..?20,000",00:00 (00:00),"Action Button Entertainment, LLC",Iron Galaxy,,,,,,,,
50,Duelyst,Duelyst,23-Aug-16,Free,53% (81%,82%),"500,000?..?1,000,000",01:02 (00:56),Counterplay Games Inc.,BANDAI NAMCO Entertainment America,,,,,,,,
55,Burly Men at Sea,Burly-Men-at-Sea,29-Sep-16,$9.99,38% (73%,82%),"20,000?..?50,000",01:40 (01:06),Brain&Brain,Brain&Brain,,,,,,,,
72,OneShot,OneShot,8-Dec-16,$9.99,99% (98%,81%),"200,000?..?500,000",01:18 (02:12),Little Cat Feet,Degica,,,,,,,,
69,SteamWorld Heist,SteamWorld-Heist,7-Jun-16,$14.99,95% (96%,81%),"200,000?..?500,000",00:00 (00:00),Image & Form Games,Image & Form Games,,,,,,,,
75,Zombie Night Terror,Zombie-Night-Terror,20-Jul-16,$12.99,87% (93%,81%),"50,000?..?100,000",01:28 (02:36),NoClip,Good Shepherd Entertainment,,,,,,,,
59,Overcooked,Overcooked,3-Aug-16,$16.99,80% (91%,81%),"500,000?..?1,000,000",01:05 (00:39),Ghost Town Games Ltd.,Team17 Digital Ltd,,,,,,,,
66,Quadrilateral Cowboy,Quadrilateral-Cowboy,25-Jul-16,$19.99,80% (91%,81%),"20,000?..?50,000",00:00 (00:00),Blendo Games,Blendo Games,,,,,,,,
76,Starbound,Starbound,22-Jul-16,$14.99,80% (91%,81%),"2,000,000?..?5,000,000",03:54 (01:35),Chucklefish,Chucklefish,,,,,,,,
67,Motorsport Manager,Motorsport-Manager,9-Nov-16,$34.99,74% (89%,81%),"200,000?..?500,000",03:43 (01:54),Playsport Games,SEGA,,,,,,,,
74,Nelly Cootalot: The Fowl Fleet,Nelly-Cootalot:-The-Fowl-Fleet,22-Mar-16,$19.99,74% (89%,81%),"20,000?..?50,000",00:00 (00:00),"Alasdair Beckett-King, Application Systems Heidelberg",Application Systems Heidelberg,,,,,,,,
64,The Bug Butcher,The-Bug-Butcher,19-Jan-16,$7.99,71% (88%,81%),"50,000?..?100,000",02:21 (00:47),Awfully Nice Studios,Awfully Nice Studios,,,,,,,,
62,GoNNER,GoNNER,12-Oct-16,$9.99,71% (88%,81%),"100,000?..?200,000",01:06 (01:03),Art in Heart,Raw Fury,,,,,,,,
71,Dragon's Dogma: Dark Arisen,Dragons-Dogma:-Dark-Arisen,15-Jan-16,$29.99,68% (87%,81%),"500,000?..?1,000,000",08:45 (04:06),Capcom,Capcom,,,,,,,,
63,"Codename: Panzers, Phase One",Codename:-Panzers-Phase-One,18-Feb-16,$14.99,68% (87%,81%),"20,000?..?50,000",00:33 (00:11),"Stormregion, THQ Nordic",THQ Nordic,,,,,,,,
65,Arizona Sunshine,Arizona-Sunshine,6-Dec-16,$39.99,66% (86%,81%),"100,000?..?200,000",00:44 (00:58),"Vertigo Games, Jaywalkers Interactive",Vertigo Games,,,,,,,,
70,Redout: Enhanced Edition,Redout:-Enhanced-Edition,2-Sep-16,$34.99,66% (86%,81%),"100,000?..?200,000",01:11 (01:47),34BigThings srl,34BigThings srl,,,,,,,,
60,Firewatch,Firewatch,9-Feb-16,$19.99,63% (85%,81%),"500,000?..?1,000,000",01:56 (01:59),Campo Santo,"Panic, Campo Santo",,,,,,,,
73,Atlas Reactor,Atlas-Reactor,4-Oct-16,Free,53% (81%,81%),"500,000?..?1,000,000",02:26 (02:37),Trion Worlds,Trion Worlds,,,,,,,,
68,Ashes of the Singularity: Escalation,Ashes-of-the-Singularity:-Escalation,10-Nov-16,$29.99,49% (79%,81%),"200,000?..?500,000",00:24 (00:30),"Stardock Entertainment, Oxide Games",Stardock Entertainment,,,,,,,,
61,Torment: Tides of Numenera,Torment:-Tides-of-Numenera,26-Jan-16,$44.99,33% (70%,81%),"100,000?..?200,000",00:29 (00:13),inXile Entertainment,inXile Entertainment,,,,,,,,
83,Samorost 3,Samorost-3,24-Mar-16,$19.99,93% (95%,80%),"200,000?..?500,000",00:00 (00:00),Amanita Design,Amanita Design,,,,,,,,
86,Oxenfree,Oxenfree,14-Jan-16,$19.99,87% (93%,80%),"200,000?..?500,000",01:43 (02:05),Night School Studio,Night School Studio,,,,,,,,
84,Leap of Fate,Leap-of-Fate,30-Mar-16,$15.99,80% (91%,80%),"20,000?..?50,000",01:06 (00:22),Clever-Plays,Clever-Plays,,,,,,,,
90,"Codename: Panzers, Phase Two",Codename:-Panzers-Phase-Two,18-Feb-16,$14.99,80% (91%,80%),"0?..?20,000",00:00 (00:00),"Stormregion, THQ Nordic",THQ Nordic,,,,,,,,
77,Tricky Towers,Tricky-Towers,2-Aug-16,$14.99,77% (90%,80%),"200,000?..?500,000",01:07 (00:49),WeirdBeard,WeirdBeard,,,,,,,,
