X.,Game,Url,Release.date,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.
352,Meridian: New World,Merchants-of-Kaidan,26-Sep-14,$6.99,12% (51%/43%),"100,000?..?200,000",00:00 (00:00),Elder Games,"Merge Games, Headup Games"
1046,Metal Dead,Meridian-New-World,6-Oct-14,$4.99,60% (84%),"20,000?..?50,000",00:00 (00:00),Walk Thru Walls Studios,Walk Thru Walls Studios
25,METAL GEAR RISING: REVENGEANCE,Metal-Dead,9-Jan-14,$29.99,84% (92%/83%),"500,000?..?1,000,000",01:54 (02:49),PlatinumGames,Konami Digital Entertainment
48,METAL GEAR SOLID V: GROUND ZEROES,METAL-GEAR-RISING-REVENGEANCE,18-Dec-14,$19.99,56% (82%/80%),"500,000?..?1,000,000",01:08 (01:02),Kojima Productions,Konami Digital Entertainment
568,Metal Planet,METAL-GEAR-SOLID-V-GROUND-ZEROES,4-Jun-14,$5.99,N/A (N/A),"20,000?..?50,000",04:20 (01:26),Pavel Bulatov,Pavel Bulatov
692,METAL SLUG 3,Metal-Planet,14-Feb-14,$7.99,80% (91%),"500,000?..?1,000,000",00:38 (00:35),"SNK CORPORATION, DotEmu",SNK CORPORATION
1625,METAL SLUG X,METAL-SLUG-3,2-Oct-14,$7.99,84% (92%),"200,000?..?500,000",00:08 (00:09),"SNK CORPORATION, DotEmu",SNK CORPORATION
658,Metro 2033 Redux,METAL-SLUG-X,25-Aug-14,$19.99,80% (91%),"2,000,000?..?5,000,000",07:16 (01:02),4A Games,Deep Silver
102,Metro: Last Light Redux,Metro-2033-Redux,25-Aug-14,$19.99,87% (93%/76%),"2,000,000?..?5,000,000",04:26 (01:59),4A Games,Deep Silver
209,Metrocide,Metrocide,15-Dec-14,$12.99,24% (64%/68%),"20,000?..?50,000",01:49 (00:36),Flat Earth Games,Flat Earth Games
1589,Micron,Metro-Last-Light-Redux,23-Jul-14,$4.99,93% (95%),"20,000?..?50,000",00:00 (00:00),Apparition Games,Apparition Games
749,Microsoft Flight Simulator X: Steam Edition,Micron,18-Dec-14,$24.99,49% (79%),"500,000?..?1,000,000",07:24 (13:13),Microsoft Game Studios,Dovetail Games - Flight
1380,Middle-earth: Shadow of Mordor,microsoft-flight-simulator-x,30-Sep-14,$19.99,80% (91%),"2,000,000?..?5,000,000",05:53 (02:17),"Monolith Productions, Feral Interactive (Mac), Feral Interactive (Linux)","WB Games, Feral Interactive (Mac)"
1012,Midnight Mysteries: Witches of Abraham - Collector's Edition,Middle-earth-Shadow-of-Mordor,24-Nov-14,$13.99,N/A (N/A),"20,000?..?50,000",00:00 (00:00),Hot Lava,MumboJumbo
177,Might & Magic X - Legacy,midnight-mysteries-witches-of-abraham,23-Jan-14,$24.99,25% (65%/70%),"100,000?..?200,000",00:00 (00:00),Ubisoft,Ubisoft
507,Miko Gakkou: Second Year,might-magic-x-legacy,13-Nov-14,$5.99,N/A (N/A),"0?..?20,000",00:00 (00:00),xinoro,xinoro
