Game,CriticRate,CriticNum,UserRate,UserNum
Neighbours from Hell Compilation,0,0,"
7.0
",9
Neverwinter,74,"
35
","
5.3
",433
Nihilumbra,75,"
11
","
6.5
",61
Nimble Quest,0,"
1
",0,0
No More Room in Hell,0,0,"
7.6
",36
Not The Robots,0,"
3
","
7.9
",16
Ohm Studio,0,0,0,0
Omegalodon,0,0,"
3.5
",4
Omerta - City of Gangsters,54,"
41
","
4.9
",216
Omikron: The Nomad Soul,0,0,"
7.7
",64
OMSI 2: Steam Edition,0,"
1
","
6.3
",21
Oozi: Earth Adventure,66,"
10
","
7.2
",12
Organ Trail: Director's Cut,0,"
3
","
6.7
",48
ORION: Prelude,0,0,0,0
Outlast,80,"
59
","
8.3
",1449
PAC-MAN and the Ghostly Adventures,0,0,"
5.0
",4
PAC-MAN Championship Edition DX+,86,"
7
","
7.5
",82
Pandemonium,0,0,"
8.3
",15
Panzar,0,"
1
","
4.9
",20
"Papers, Please",85,"
40
","
8.5
",1258
Papo & Yo,70,"
23
","
7.7
",143
Paranormal,0,"
1
","
6.5
",21
Path of Exile,86,"
27
","
8.1
",1657
PAYDAY 2,79,"
51
","
3.7
",3617
PCMark 8,0,0,0,0
Penny Arcade's On the Rain-Slick Precipice of Darkness 4,70,"
6
","
6.8
",12
Perfection.,0,0,0,0
Pinball Arcade,0,0,0,0
PixelJunk Monsters Ultimate,72,"
8
","
7.3
",25
PixelJunk Shooter,73,"
7
","
7.6
",23
PlayClaw 5 - Game Recording and Streaming,0,0,0,0
Poker Night 2,75,"
8
","
7.0
",154
Pool Nation,0,"
1
","
8.4
",84
Portal 2 Sixense Perceptual Pack,0,0,0,0
POSTAL,56,"
7
","
6.4
",94
Postmortem: One Must Die(Extended Cut),0,"
1
","
4.3
",6
Poöf,0,0,0,0
Primal Fears,39,"
6
","
4.5
",34
Prime World: Defenders,58,"
7
","
7.7
",139
Professional Farmer 2014,0,"
1
","
4.9
",10
Project Syria,0,0,0,0
Project Zomboid,0,0,"
7.7
",117
Proteus,80,"
24
","
5.6
",184
Pulse Shift,0,0,0,0
Race The Sun,79,"
16
","
7.3
",78
RaceRoom Racing Experience,0,0,"
3.9
",13
Ragnarok Online,79,"
5
","
8.3
",104
Ragnarok Online 2,0,"
2
","
3.4
",62
Rain Blood Chronicles: Mirage,68,"
6
","
7.1
",34
Ravensword: Shadowlands,0,"
1
","
4.0
",10
Rayman Legends,89,"
5
","
8.5
",379
RaySupreme 3D,0,0,0,0
Reach for the Sun,0,0,0,0
Realms of Arkania: Blade of Destiny,0,0,0,0
Receiver,0,"
2
","
5.9
",37
Redshirt,62,"
16
","
5.4
",37
Remember Me,65,"
26
","
7.4
",1054
Resident Evil 6 / Biohazard 6,69,"
18
","
6.0
",968
Resident Evil Revelations / Biohazard Revelations,77,"
12
","
7.1
",387
Retrovirus,70,"
12
","
6.7
",18
Reus,75,"
22
","
7.2
",225
Ride 'em Low,0,0,0,0
Ring Runner: Flight of the Sages,75,"
5
","
7.8
",29
Rise of Flight United,0,0,0,0
Rise of the Triad,67,"
40
","
6.7
",232
Rise of Venice,66,"
17
","
6.8
",82
Rising Storm Game of the Year Edition,82,"
21
","
8.5
",239
Risk,0,0,0,0
Risk of Rain,77,"
12
","
8.1
",263
Rogue Legacy,85,"
43
","
7.9
",627
RPG Maker XP,0,0,0,0
Rush Bros.,54,"
16
","
4.9
",27
Sacra Terra: Kiss of Death Collector's Edition,0,0,0,0
Sacred Citadel,61,"
15
","
5.4
",68
Saints Row IV,86,"
45
","
7.4
",1652
Salvation Prophecy,0,"
3
","
7.4
",19
Samurai Gunn,78,"
11
","
7.5
",25
Sanctum 2,77,"
28
","
7.6
",378
Sang-Froid - Tales of Werewolves,79,"
13
","
7.7
",108
Savant - Ascent,0,0,"
8.3
",39
Scrabble,0,0,0,0
Scribblenauts Unmasked: A DC Comics Adventure,68,"
14
","
6.0
",44
Secret Files: Sam Peters,0,"
3
","
6.5
",11
Septerra Core,72,19,7.7,67
Shadow Man,0,0,"
8.7
",27
Shadow Warrior,73,"
50
","
8.1
",728
Shadow Warrior Classic Redux,0,"
2
","
8.1
",31
Shadowrun Returns,76,"
54
","
7.4
",956
Shadows: Price For Our Sins Bonus Edition,0,0,0,0
Shattered Haven,59,"
4
","
6.9
",14
Shelter,69,"
29
","
7.2
",86
ShootMania Storm,76,"
47
","
7.2
",76
Shufflepuck Cantina Deluxe,0,"
1
","
5.9
",8
Sid Meier's Ace Patrol,71,"
7
","
6.6
",24
Sid Meier's Ace Patrol: Pacific Skies,59,"
4
","
6.7
",9
Signal Ops,61,"
9
","
7.2
",6
Silent Storm Gold Edition,0,0,"
8.8
",16
Skullgirls,83,"
6
","
7.9
",143
Skulls of the Shogun,72,"
6
","
6.7
",76
Skyscraper Simulator,0,0,"
1.3
",21
Skyward Collapse,64,"
5
","
8.0
",28
Slam Bolt Scrappers,0,"
1
","
7.6
",5
Slender: The Arrival,65,"
30
","
6.1
",255
Small World 2,0,0,"
7.5
",8
Sniper Elite: Nazi Zombie Army,62,"
24
","
7.3
",250
Sniper Elite: Nazi Zombie Army 2,53,"
10
","
6.9
",101
Sniper: Ghost Warrior 2,52,"
24
","
5.8
",355
SNOW,0,0,0,0
Solar Flux,0,0,0,0
Soldier Front 2,0,0,"
7.3
",10
Songs2See,0,0,0,0
Soundodger+,78,"
5
","
6.9
",13
Space Ace,0,0,0,0
Space Engineers,0,0,0,0
Space Hulk,58,"
22
","
6.5
",165
Space Rangers HD: A War Apart,68,"
4
","
8.6
",165
Spaceforce Constellations,0,0,0,0
Sparkle 2 Evo,0,0,6.4,17
Speedball 2 HD,53,"
10
","
3.8
",19
Spelunky,90,"
9
","
7.2
",482
Star Conflict,75,"
9
","
7.0
",164
StarDrive,61,"
26
","
6.8
",384
Starseed Pilgrim,83,"
12
","
6.1
",36
Startopia,86,"
14
","
8.6
",60
State of Decay,79,"
9
","
6.9
",571
SteamWorld Dig,76,"
12
","
7.3
",107
Stick it to The Man!,79,"
7
","
7.3
",63
Storm,63,"
5
","
7.0
",8
Strike Suit Infinity,66,"
11
","
7.0
",32
Strike Suit Zero,66,"
40
","
7.3
",161
Stronghold Crusader HD,0,0,"
8.1
",9
Stronghold HD,0,0,"
6.0
",10
Super Amazing Wagon Adventure,0,0,"
8.0
",16
Super House of Dead Ninjas,79,"
6
","
8.3
",42
Super Puzzle Platformer Deluxe,0,"
3
","
8.5
",17
Super Sanctum TD,0,"
1
","
7.1
",32
Super Splatters,73,"
6
","
8.3
",11
Surgeon Simulator,71,"
18
","
5.9
",238
Syder Arcade,76,"
4
","
6.8
",28
System Shock 2,92,"
20
","
9.1
",576
Tales of Maj'Eyal,0,"
2
","
7.0
",63
Talisman: Prologue,0,"
1
","
6.3
",4
Tank Operations: European Campaign,0,"
3
","
6.0
",4
Teleglitch: Die More Edition,78,"
18
","
7.0
",50
Teslagrad,77,"
15
","
7.7
",111
Tetrobot and Co.,72,"
7
","
7.6
",19
The 11th Hour,0,0,"
6.8
",4
The 39 Steps,0,"
1
","
7.0
",42
The 7th Guest,0,0,0,0
The Apogee Throwback Pack,0,0,0,0
The Banner Saga: Factions,67,"
5
","
8.0
",108
The Bridge,0,0,0,0
The Bureau: XCOM Declassified,66,"
45
","
6.5
",646
The Cat Lady,81,"
11
","
8.7
",202
The Cave,0,0,"
7.6
",5
The Chaos Engine,40,"
7
","
7.6
",25
The Game of Life,0,0,0,0
The Incredible Adventures of Van Helsing,72,"
52
","
8.2
",594
The Inner World,72,"
18
","
7.7
",59
The Journey Down: Chapter One,72,"
20
","
7.5
",40
THE KING OF FIGHTERS XIII STEAM EDITION,77,"
6
","
8.1
",69
The Last Express Gold Edition,82,"
8
","
8.7
",66
The Mysterious Cities of Gold,0,0,0,0
The Night of the Rabbit,75,"
45
","
7.5
",88
The Novelist,66,"
23
","
6.0
",38
The Saint: Abyss of Despair,0,0,0,0
The Shivah,0,"
2
","
7.2
",11
The Stanley Parable,88,"
47
","
8.0
",1924
The Swapper,87,"
36
","
8.6
",508
The Typing of The Dead: Overkill,71,"
10
","
7.7
",46
The Walking Dead: Season 2,0,0,0,0
The Wizard's Lair,0,0,0,0
The Wolf Among Us,80,"
13
","
8.8
",547
Thunder Wolves,69,"
15
","
7.1
",37
Tiny Barbarian DX,0,"
3
","
7.5
",6
Tiny Brains,63,"
5
","
5.3
",12
Toki Tori 2+,76,"
13
","
7.6
",42
Tom Clancy's  Splinter Cell Blacklist,82,"
13
","
7.5
",810
Tomb Raider,86,"
18
","
8.5
",3897
Tomb Raider - The Final Hours Digital Book,0,0,0,0
Total War: ROME II - Emperor Edition,0,"
2
","
7.2
",169
TrackMania2 Canyon,81,"
37
","
7.7
",106
TrackMania2 Stadium,77,"
5
","
7.7
",63
TrackMania2 Valley,79,"
7
","
7.7
",46
Train Simulator: East Coast Main Line London-Peterborough Route Add-On,0,0,0,0
Train Simulator: Pacific Surfliner LA - San Diego Route,0,0,0,0
Train Simulator: West Somerset Railway Route Add-On,0,0,0,0
Trials Evolution: Gold Edition,85,"
10
","
6.8
",126
Trine 2: Complete Story,0,0,"
8.3
",16
Truck Racer,0,0,"
7.5
",4
Two Brothers,57,"
4
","
4.7
",6
Type:Rider,0,"
1
","
6.2
",32
Ultratron,0,0,"
7.8
",16
Unholy Heights,0,"
3
","
6.3
",24
Urban Chaos,0,0,"
8.5
",8
Urban Trial 0style,58,"
9
","
6.8
",28
Valdis Story: Abyssal City,83,"
7
","
7.7
",83
Vector,0,"
1
","
7.7
",13
VelocityUltra,0,"
3
",0,0
Violett Remastered,61,"
9
","
7.3
",25
Virtual DJ - Broadcaster Edition,0,0,0,0
Virtual Race Car Engineer 2017,0,0,0,0
Viscera Cleanup Detail: Santa's Rampage,0,0,"
5.8
",12
Viscera Cleanup Detail: Shadow Warrior,0,0,"
5.9
",16
Volgarr the Viking,76,"
9
","
7.7
",93
Vox,0,0,"
1.7
",6
War Thunder,81,"
8
","
6.5
",793
Warframe,71,"
11
","
8.3
",1308
Wargame: Airland Battle,80,"
22
","
8.0
",249
Wasteland 1 - The Original Classic,0,0,0,0
Weird Worlds: Return to Infinite Space,79,"
6
","
7.0
",23
Wizardry 6: Bane of the Cosmic Forge,85,"
20
","
8.3
",84
Wizardry 7: Crusaders of the Dark Savant,0,0,0,0
Wizardry 8,0,0,0,0
Woodcutter Simulator 2013,0,0,"
4.1
",15
Wooden Sen'SeY,0,"
1
",0,0
World Basketball Tycoon,0,0,0,0
World War II: Panzer Claws,61,"
8
","
7.1
",10
World War III: Black Gold,71,"
14
","
6.5
",11
Worms Armageddon,0,0,"
8.9
",127
Worms Clan Wars,73,"
17
","
6.9
",62
WRC 4 FIA World Rally Championship,64,"
7
","
6.5
",64
X Rebirth,33,"
24
","
3.2
",1302
YOU DON'T KNOW JACK HEADRUSH,0,0,0,0
YOU DON'T KNOW JACK MOVIES,0,0,0,0
YOU DON'T KNOW JACK SPORTS,0,0,0,0
YOU DON'T KNOW JACK TELEVISION,0,0,0,0
YOU DON'T KNOW JACK Vol. 1 XL,0,0,0,0
YOU DON'T KNOW JACK Vol. 2,0,0,0,0
YOU DON'T KNOW JACK Vol. 3,0,0,0,0
YOU DON'T KNOW JACK Vol. 4 The Ride,0,0,0,0
YOU DON'T KNOW JACK Vol. 6 The Lost Gold,67,5,6.1,7
Ys I & II Chronicles+,0,"
3
","
7.2
",30
Z3TA+ 2,0,0,0,0
Zack Zero,55,"
10
","
7.3
",30
Zafehouse: Diaries,0,"
3
","
5.8
",23
Zeno Clash 2,61,"
33
","
7.4
",134
Zigfrak,0,0,0,0
Zombie Apocalypse: Escape The Undead City,0,0,0,0
Zombie Tycoon 2: Brainhov's Revenge,0,"
2
","
4.8
",4
