"","V1","V2","V3","V4","V5"
"cur_sta.531","Predynastic Egypt","NA","0","NA","0"
"cur_sta.532","Hyper Bounce Blast","NA","0","NA","0"
"cur_sta.533","SoniComi","NA","0","NA","0"
"cur_sta.534","Gun Done","NA","0","NA","0"
"cur_sta.535","Sven Co-op","NA","0","
7.9
    ","8 Ratings"
"cur_sta.536","Save Jesus","NA","0","NA","0"
"cur_sta.537","Tattletail","NA","
                                1
                            ","
6.0
    ","7 Ratings"
"cur_sta.538","Sakura Nova","NA","0","NA","0"
"cur_sta.539","Dead Rising","NA","
                                3
                            ","
6.6
    ","17 Ratings"
"cur_sta.540","Party Jousting","NA","0","NA","0"
"cur_sta.541","Onward","NA","0","NA","0"
"cur_sta.542","Golf With Your Friends","NA","0","
7.1
    ","19 Ratings"
"cur_sta.543","Ace of Seafood","NA","
                                2
                            ","NA","0"
"cur_sta.544","Dog Sled Saga","NA","
                                1
                            ","NA","0"
"cur_sta.545","Hade","NA","0","NA","0"
"cur_sta.546","Empty Horizons","NA","0","NA","0"
"cur_sta.547","Beyond Reality","NA","0","NA","0"
"cur_sta.548","Zombo Buster Rising","NA","0","NA","0"
"cur_sta.549","Pixel Cup Soccer 17","NA","0","NA","0"
"cur_sta.550","Xmas Shooting - Scramble!!","NA","
                                2
                            ","NA","0"
"cur_sta.551","System Crash","NA","
                                1
                            ","NA","0"
"cur_sta.552","Bezier","NA","
                                2
                            ","NA","0"
"cur_sta.553","Void Destroyer 2","NA","0","NA","0"
"cur_sta.554","Amaranthine","NA","0","NA","0"
"cur_sta.555","Beglitched","NA","
                                1
                            ","NA","0"
"cur_sta.556","We Know the Devil","NA","
                                2
                            ","NA","0"
"cur_sta.557","Cubicolor","NA","0","NA","0"
"cur_sta.558","Goblin and Coins","NA","
                                1
                            ","NA","0"
"cur_sta.559","Dead End Road","NA","
                                1
                            ","NA","0"
"cur_sta.560","Sally's Law","NA","
                                1
                            ","NA","0"
"cur_sta.561","Super Jagua","NA","0","
8.0
    ","5 Ratings"
"cur_sta.562","Pan-Pan","NA","
                                3
                            ","NA","0"
"cur_sta.563","Evo Explores","NA","0","NA","0"
"cur_sta.564","Razortron 2000","NA","0","NA","0"
"cur_sta.565","Forgotten, Not Lost - A Kinetic Novel","NA","0","NA","0"
"cur_sta.566","WayOut","NA","0","NA","0"
"cur_sta.567","Hiiro","NA","
                                1
                            ","NA","0"
"cur_sta.568","Drop Alive","NA","
                                1
                            ","NA","0"
"cur_sta.569","Meadow","NA","
                                2
                            ","NA","0"
"cur_sta.570","NO THING","NA","
                                1
                            ","NA","0"
"cur_sta.571","INFRA","NA","
                                3
                            ","
6.5
    ","13 Ratings"
"cur_sta.572","Unseen Diplomacy","NA","0","NA","0"
"cur_sta.573","Clock Simulator","NA","
                                1
                            ","NA","0"
"cur_sta.574","Frosty Kiss","NA","0","NA","0"
"cur_sta.575","Sepia Tears","NA","0","
8.3
    ","4 Ratings"
"cur_sta.576","You Have 10 Seconds 2","NA","0","NA","0"
"cur_sta.577","Kittypocalypse","NA","
                                1
                            ","NA","0"
"cur_sta.578","Elven Assassin","NA","0","NA","0"
"cur_sta.579","Straimium Immortaly","NA","0","NA","0"
"cur_sta.580","Soundboxing","NA","0","NA","0"
"cur_sta.581","Mu Cartographer","NA","0","NA","0"
"cur_sta.582","Hardware Engineers","NA","0","NA","0"
"cur_sta.583","Tiny Guardians","NA","0","NA","0"
"cur_sta.584","Recursion Deluxe","NA","
                                1
                            ","NA","0"
"cur_sta.585","Deisim","NA","0","NA","0"
"cur_sta.586","Dashy Square","NA","0","NA","0"
"cur_sta.587","Sethian","NA","0","NA","0"
"cur_sta.588","The Labyrinth of Grisaia","NA","
                                1
                            ","NA","0"
"cur_sta.589","Hero and Daughter+","NA","
                                3
                            ","NA","0"
"cur_sta.590","Crush Crush","NA","0","NA","0"
"cur_sta.591","Parkitect","NA","
                                2
                            ","NA","0"
"cur_sta.592","Feel The Snow","NA","0","
6.3
    ","4 Ratings"
"cur_sta.593","Conan the mighty pig","NA","0","NA","0"
"cur_sta.594","Stikbold! A Dodgeball Adventure","NA","
                                1
                            ","NA","0"
"cur_sta.595","Niche: a genetics survival game","NA","
                                1
                            ","NA","0"
"cur_sta.596","1993 Space Machine","NA","0","
5.5
    ","4 Ratings"
"cur_sta.597","The Brookhaven Experiment","NA","0","
8.3
    ","4 Ratings"
"cur_sta.598","The Rose and I","NA","0","NA","0"
"cur_sta.599","Star Wars Galactic Battlegrounds Saga","NA","
                                3
                            ","NA","0"
"cur_sta.600","There's Poop In My Soup","NA","
                                2
                            ","
6.4
    ","7 Ratings"
"cur_sta.601","BARRIER X","NA","0","
6.3
    ","7 Ratings"
"cur_sta.602","Planes, Bullets and Vodka","NA","0","NA","0"
"cur_sta.603","Alicemare","NA","
                                2
                            ","NA","0"
"cur_sta.604","Screeps","NA","0","NA","0"
"cur_sta.605","Earn to Die 2","NA","
                                1
                            ","NA","0"
"cur_sta.606","Camp Sunshine","NA","0","NA","0"
"cur_sta.607","Star Wars Rebellion","NA","0","
8.9
    ","20 Ratings"
"cur_sta.608","Tumbleweed Express","NA","0","NA","0"
"cur_sta.609","Viking Squad","NA","0","
7.5
    ","4 Ratings"
"cur_sta.610","Axes and Acres","NA","0","NA","0"
"cur_sta.611","Ragdoll Runners","NA","0","NA","0"
"cur_sta.612","Bastard Bonds","NA","0","NA","0"
"cur_sta.613","Settled","NA","0","NA","0"
"cur_sta.614","Paddle Up","NA","0","NA","0"
"cur_sta.615","Weird Hero","NA","0","
7.8
    ","6 Ratings"
"cur_sta.616","VoxreD","NA","0","NA","0"
"cur_sta.617","Brain In My Head","NA","0","NA","0"
"cur_sta.618","Golden Swords","NA","0","NA","0"
"cur_sta.619","CLASH","NA","0","NA","0"
"cur_sta.620","Earth Space Colonies","NA","0","NA","0"
"cur_sta.621","Music Wars Empire","NA","0","NA","0"
"cur_sta.622","Pro Basketball Manager 2016","NA","
                                3
                            ","NA","0"
"cur_sta.623","Kitten Rampage","NA","0","NA","0"
"cur_sta.624","Black Sand Drift","NA","
                                1
                            ","NA","0"
"cur_sta.625","Hyper color ball","NA","0","NA","0"
"cur_sta.626","Final Quest II","NA","0","NA","0"
"cur_sta.627","BattleStick","NA","0","NA","0"
"cur_sta.628","Star Drifter","NA","0","NA","0"
"cur_sta.629","Kuboom","NA","0","NA","0"
"cur_sta.630","'n Verlore Verstand","NA","0","NA","0"
"cur_sta.631","Zero-G VR","NA","0","NA","0"
"cur_sta.632","R.B.I. Baseball 16","NA","0","NA","0"
"cur_sta.633","Skyreach","NA","0","NA","0"
"cur_sta.634","3 Coins At School","NA","0","NA","0"
"cur_sta.635","24 HOURS","NA","0","NA","0"
"cur_sta.636","Dark Night","NA","0","NA","0"
"cur_sta.637","Krampus","NA","0","NA","0"
"cur_sta.638","Zone4","NA","0","NA","0"
"cur_sta.639","Era of Majesty","NA","0","NA","0"
"cur_sta.640","! That Bastard Is Trying To Steal Our Gold !","NA","0","
3.4
    ","5 Ratings"
"cur_sta.641","Klepto","NA","0","NA","0"
"cur_sta.642","Villagers","NA","
                                1
                            ","NA","0"
"cur_sta.643","Wars of Napoleon","NA","0","NA","0"
"cur_sta.644","MadOut Open City","NA","0","NA","0"
"cur_sta.645","Learn to Fly 3","NA","0","NA","0"
"cur_sta.646","Metal Slug 2","NA","0","
7.2
    ","5 Ratings"
"cur_sta.647","Midsummer Night","NA","0","NA","0"
"cur_sta.648","Octave","NA","0","NA","0"
"cur_sta.649","Cube Runner","NA","0","NA","0"
"cur_sta.650","Delicious! Pretty Girls Mahjong Solitaire","NA","0","NA","0"
"cur_sta.651","Plantera","NA","
                                2
                            ","
6.9
    ","8 Ratings"
"cur_sta.652","Istrolid","NA","0","NA","0"
"cur_sta.653","Ozmafia!!","NA","
                                2
                            ","NA","0"
"cur_sta.654","WolfQuest","NA","0","NA","0"
"cur_sta.655","Pang Adventures","NA","
                                1
                            ","NA","0"
"cur_sta.656","Dots eXtreme","NA","0","NA","0"
"cur_sta.657","Ghost Town Mine Ride & Shootin' Gallery","NA","
                                1
                            ","NA","0"
"cur_sta.658","Alice's Patchwork","NA","0","NA","0"
"cur_sta.659","Found","NA","0","NA","0"
"cur_sta.660","Drawful 2","NA","
                                1
                            ","NA","0"
"cur_sta.661","Ratz Instagib","NA","0","NA","0"
"cur_sta.662","Intralism","NA","0","
2.8
    ","5 Ratings"
"cur_sta.663","CUPID - A free to play Visual Novel","NA","0","NA","0"
"cur_sta.664","Replica","NA","
                                3
                            ","
6.1
    ","11 Ratings"
"cur_sta.665","The Cubicle.","NA","0","NA","0"
"cur_sta.666","Linea, the Game","NA","0","NA","0"
"cur_sta.667","Iron Impact","NA","0","NA","0"
"cur_sta.668","Mr. Pumpkin Adventure","NA","0","NA","0"
"cur_sta.669","Pub Encounter","NA","0","NA","0"
"cur_sta.670","Holodance","NA","0","NA","0"
"cur_sta.671","The Tale of a Common Man","NA","0","NA","0"
"cur_sta.672","SMILE Game Builder","NA","0","NA","0"
"cur_sta.673","SPINGUN","NA","0","NA","0"
"cur_sta.674","Unveil","NA","0","NA","0"
"cur_sta.675","Windscape","NA","0","NA","0"
"cur_sta.676","Super Night Riders","NA","
                                1
                            ","NA","0"
"cur_sta.677","Space Impossible","NA","0","NA","0"
"cur_sta.678","Blitz Breaker","NA","
                                1
                            ","NA","0"
"cur_sta.679","Fabric","NA","0","NA","0"
"cur_sta.680","Rot Gut","NA","
                                1
                            ","NA","0"
"cur_sta.681","Kyoto Colorful Days","NA","0","NA","0"
"cur_sta.682","Solitairica","NA","
                                2
                            ","NA","0"
"cur_sta.683","ASTRONEER","NA","0","NA","0"
"cur_sta.684","Fruit Ninja VR","NA","0","NA","0"
"cur_sta.685","Glittermitten Grove","NA","
                                2
                            ","
7.7
    ","7 Ratings"
"cur_sta.686","Sophie's Curse","NA","0","NA","0"
"cur_sta.687","Merlin adventurer store","NA","0","NA","0"
"cur_sta.688","Neon Drive","NA","
                                2
                            ","
6.8
    ","9 Ratings"
"cur_sta.689","The Bottom of the Well","NA","0","NA","0"
"cur_sta.690","Idling to Rule the Gods","NA","0","NA","0"
"cur_sta.691","The Bellows","NA","0","NA","0"
"cur_sta.692","THOTH","NA","
                                3
                            ","
6.3
    ","4 Ratings"
"cur_sta.693","Super Mega Neo Pug","NA","0","
3.6
    ","5 Ratings"
"cur_sta.694","Mind Spheres","NA","0","
2.0
    ","4 Ratings"
"cur_sta.695","Aim Hero","NA","0","NA","0"
"cur_sta.696","Worlds Adrift: Island Creator","NA","0","NA","0"
"cur_sta.697","Apollo 11 VR Experience","NA","
                                1
                            ","NA","0"
"cur_sta.698","Slash or Die","NA","0","NA","0"
"cur_sta.699","Six Sides of the World","NA","0","
8.8
    ","6 Ratings"
"cur_sta.700","The Cat! Porfirio's Adventure","NA","0","
8.0
    ","7 Ratings"
"cur_sta.701","it's always monday","NA","0","NA","0"
"cur_sta.702","Calm Down, Stalin","NA","0","NA","0"
"cur_sta.703","Space Moth DX","NA","
                                2
                            ","NA","0"
"cur_sta.704","LostWinds","NA","0","NA","0"
"cur_sta.705","Out of Ammo","NA","0","NA","0"
"cur_sta.706","Wake Up","NA","0","NA","0"
"cur_sta.707","Mansions of Madness","NA","0","NA","0"
"cur_sta.708","Once in Yaissor","NA","0","NA","0"
"cur_sta.709","Defy Gravity Extended","NA","
                                2
                            ","
6.2
    ","30 Ratings"
"cur_sta.710","Shakes and Fidget","NA","0","
4.3
    ","4 Ratings"
"cur_sta.711","Stellar Tactics","NA","0","NA","0"
"cur_sta.712","The Eyes of Ara","NA","
                                3
                            ","NA","0"
"cur_sta.713","Oh My Gore!","NA","0","NA","0"
"cur_sta.714","Never give up!","NA","0","NA","0"
"cur_sta.715","LASTFIGHT","NA","
                                2
                            ","NA","0"
"cur_sta.716","Cowbots and Aliens","NA","0","NA","0"
"cur_sta.717","The Shape Of Heart","NA","0","NA","0"
"cur_sta.718","Security Hole","NA","0","
7.9
    ","10 Ratings"
"cur_sta.719","Capitalism Plus","NA","0","
8.0
    ","9 Ratings"
"cur_sta.720","Fast Action Hero","NA","0","NA","0"
"cur_sta.721","Rocket Fist","NA","
                                1
                            ","NA","0"
"cur_sta.722","Rogue System","NA","0","NA","0"
"cur_sta.723","Intrude","NA","
                                1
                            ","NA","0"
"cur_sta.724","Delicious - Emily's Christmas Carol","NA","0","NA","0"
"cur_sta.725","CounterAttack","NA","0","NA","0"
"cur_sta.726","Surfingers","NA","0","NA","0"
"cur_sta.727","theBlu","NA","0","NA","0"
"cur_sta.728","Twilight Struggle","NA","
                                3
                            ","
8.0
    ","13 Ratings"
"cur_sta.729","The Abbey of Crime Extensum","NA","0","NA","0"
"cur_sta.730","Solstice","NA","
                                2
                            ","NA","0"
"cur_sta.731","Regeria Hope Episode 1","NA","0","NA","0"
"cur_sta.732","ORBITAL","NA","0","
6.3
    ","4 Ratings"
"cur_sta.733","Project Starship","NA","0","NA","0"
"cur_sta.734","What's under your blanket !?","NA","
                                1
                            ","
6.0
    ","5 Ratings"
"cur_sta.735","Spikit","NA","0","NA","0"
"cur_sta.736","HordeZ","NA","0","NA","0"
"cur_sta.737","ORCS","NA","0","NA","0"
"cur_sta.738","Bad Rats Show","NA","0","
8.0
    ","5 Ratings"
"cur_sta.739","Gurgamoth","NA","
                                2
                            ","NA","0"
"cur_sta.740","Of Carrots And Blood","NA","
                                1
                            ","NA","0"
"cur_sta.741","Copoka","NA","
                                1
                            ","NA","0"
"cur_sta.742","Fresh Body","NA","0","NA","0"
"cur_sta.743","Cube Destroyer","NA","0","
5.9
    ","8 Ratings"
"cur_sta.744","Haydee","NA","0","
4.0
    ","6 Ratings"
"cur_sta.745","Magma Tsunami","NA","0","NA","0"
"cur_sta.746","Aozora Meikyuu","NA","0","NA","0"
"cur_sta.747","Cat on a Diet","NA","0","NA","0"
"cur_sta.748","Darksiders: Warmastered Edition","NA","
                                3
                            ","
7.0
    ","41 Ratings"
"cur_sta.749","panGEMic","NA","0","NA","0"
"cur_sta.750","Intensive Exposure","NA","
                                1
                            ","
8.0
    ","5 Ratings"
"cur_sta.751","FreeHolder","NA","0","NA","0"
"cur_sta.752","Polygon Attack","NA","0","NA","0"
"cur_sta.753","Extreme Forklifting 2","NA","0","NA","0"
"cur_sta.754","Eternal Destiny","NA","0","NA","0"
"cur_sta.755","Bad Ass Babes","NA","0","NA","0"
"cur_sta.756","Chicku","NA","0","NA","0"
"cur_sta.757","The Quest","NA","
                                1
                            ","NA","0"
"cur_sta.758","The Beggar's Ride","NA","
                                1
                            ","NA","0"
"cur_sta.759","Trials of Azra","NA","
                                1
                            ","NA","0"
"cur_sta.760","12 orbits","NA","0","NA","0"
"cur_sta.761","Counter Fight","NA","0","NA","0"
"cur_sta.762","9th Dawn II","NA","0","NA","0"
"cur_sta.763","Super Impossible Road","NA","0","NA","0"
"cur_sta.764","This Is the Police","66","
                                35
                            ","
7.7
    ","178 Ratings"
"cur_sta.765","Max, an Autistic Journey","NA","
                                1
                            ","NA","0"
"cur_sta.766","DubWars","NA","0","NA","0"
"cur_sta.767","Fly O'Clock","NA","0","NA","0"
"cur_sta.768","Tower Unite","NA","0","NA","0"
"cur_sta.769","One Troll Army","NA","
                                2
                            ","NA","0"
"cur_sta.770","State of Anarchy","NA","
                                1
                            ","NA","0"
"cur_sta.771","Blameless","NA","0","
6.4
    ","12 Ratings"
"cur_sta.772","Dead Age","NA","0","
3.6
    ","7 Ratings"
"cur_sta.773","The Underground Man","NA","0","
8.6
    ","317 Ratings"
"cur_sta.774","Hidden Object 6-in-1 Bundle","NA","0","NA","0"
"cur_sta.775","Atlantic Fleet","NA","0","
6.8
    ","4 Ratings"
"cur_sta.776","FORCED SHOWDOWN","67","
                                14
                            ","
7.5
    ","14 Ratings"
"cur_sta.777","Asdivine Hearts","NA","0","NA","0"
"cur_sta.778","Cally's Caves 3","NA","0","NA","0"
"cur_sta.779","CAGE","NA","0","NA","0"
"cur_sta.780","Pretty Girls Panic!","NA","0","NA","0"
"cur_sta.781","Iron Sea Defenders","NA","0","NA","0"
"cur_sta.782","Space Codex","NA","0","NA","0"
"cur_sta.783","Rock 'N' Roll Defense","NA","0","NA","0"
"cur_sta.784","A Boy and His Blob","NA","
                                2
                            ","
8.6
    ","5 Ratings"
"cur_sta.785","Bloons TD Battles","NA","0","NA","0"
"cur_sta.786","No One But You","NA","
                                1
                            ","NA","0"
"cur_sta.787","Ballistic Tanks","NA","0","NA","0"
"cur_sta.788","Neon Shadow","NA","0","NA","0"
"cur_sta.789","My Night Job","NA","
                                2
                            ","
7.0
    ","5 Ratings"
"cur_sta.790","Coffee Shop Tycoon","NA","0","NA","0"
"cur_sta.791","Club Life","NA","0","NA","0"
"cur_sta.792","Domino Sky","NA","0","NA","0"
"cur_sta.793","Dream Dealer","NA","0","NA","0"
"cur_sta.794","Endless Room","NA","0","NA","0"
"cur_sta.795","Autumn Dream","NA","0","NA","0"
"cur_sta.796","Apartment 666","NA","0","NA","0"
"cur_sta.797","White Mirror","NA","0","NA","0"
"cur_sta.798","Habitat: A Thousand Generations in Orbit","NA","0","NA","0"
"cur_sta.799","Massive","NA","0","NA","0"
"cur_sta.800","Frontier","NA","0","NA","0"
"cur_sta.801","Cat Simulator","NA","0","NA","0"
"cur_sta.802","Club Naughty","NA","0","NA","0"
"cur_sta.803","European Ship Simulator","NA","0","NA","0"
"cur_sta.804","Girl Amazon Survival","NA","0","NA","0"
"cur_sta.805","EeOneGuy Adventure","NA","0","NA","0"
"cur_sta.806","Fall of Civilization","NA","0","NA","0"
"cur_sta.807","The Growth Journey","NA","0","NA","0"
"cur_sta.808","Anykey Simulator","NA","0","NA","0"
"cur_sta.809","Cuties","NA","0","NA","0"
"cur_sta.810","Control Craft 2","NA","0","NA","0"
"cur_sta.811","Scrap Mechanic","NA","0","NA","0"
"cur_sta.812","BlackSmith HIT","NA","0","NA","0"
"cur_sta.813","Welcome to the Game","NA","
                                1
                            ","
8.2
    ","5 Ratings"
"cur_sta.814","Subterrain","NA","
                                1
                            ","
6.3
    ","7 Ratings"
"cur_sta.815","Risky Rescue","NA","0","NA","0"
"cur_sta.816","Western Press","NA","
                                3
                            ","NA","0"
"cur_sta.817","Manual Samuel","NA","
                                1
                            ","
5.7
    ","7 Ratings"
"cur_sta.818","Lightblade VR","NA","0","NA","0"
"cur_sta.819","HardCube","NA","0","NA","0"
"cur_sta.820","Last Hope - Tower Defense","NA","0","NA","0"
"cur_sta.821","Wayward","NA","0","NA","0"
"cur_sta.822","BattleStorm","NA","0","NA","0"
"cur_sta.823","Breathing Fear","NA","0","NA","0"
"cur_sta.824","Ace of Protectors","NA","0","NA","0"
"cur_sta.825","Jesus Christ RPG Trilogy","NA","0","NA","0"
"cur_sta.826","Sakura Shrine Girls","NA","0","NA","0"
"cur_sta.827","Shadow Complex Remastered","NA","
                                3
                            ","
7.2
    ","28 Ratings"
"cur_sta.828","Audioshield","81","
                                5
                            ","
6.0
    ","7 Ratings"
"cur_sta.829","Yu-Gi-Oh! Legacy of the Duelist","NA","
                                1
                            ","
7.6
    ","10 Ratings"
"cur_sta.830","Ice Lakes","NA","
                                3
                            ","NA","0"
"cur_sta.831","Turbo Pug DX","NA","0","NA","0"
"cur_sta.832","Aurora Nights","NA","0","NA","0"
"cur_sta.833","Shuffle!","NA","0","NA","0"
"cur_sta.834","Cellar","NA","0","NA","0"
"cur_sta.835","Timore 5","NA","0","NA","0"
"cur_sta.836","Pinball FX2 VR","NA","
                                2
                            ","NA","0"
"cur_sta.837","Ittle Dew 2","NA","0","NA","0"
"cur_sta.838","Just Deserts","NA","0","NA","0"
"cur_sta.839","Blade Ballet","NA","
                                2
                            ","NA","0"
"cur_sta.840","Donuts'n'Justice","NA","0","NA","0"
"cur_sta.841","UTOPIA 9 - A Volatile Vacation","NA","0","
8.3
    ","6 Ratings"
"cur_sta.842","Don't Disturb","NA","
                                1
                            ","NA","0"
"cur_sta.843","Vertigo","NA","0","NA","0"
"cur_sta.844","Tomato Jones","NA","0","NA","0"
"cur_sta.845","Automobilista","NA","
                                1
                            ","NA","0"
"cur_sta.846","Ortus Regni","NA","0","NA","0"
"cur_sta.847","Ember Strike","NA","0","NA","0"
"cur_sta.848","Fantastic Contraption","NA","0","NA","0"
"cur_sta.849","Planet R-12","NA","0","NA","0"
"cur_sta.850","Hexoscope","NA","0","NA","0"
"cur_sta.851","BitRay2","NA","0","NA","0"
"cur_sta.852","HunieCam Studio","NA","0","
6.1
    ","14 Ratings"
"cur_sta.853","Steel Invaders","NA","0","NA","0"
"cur_sta.854","Escape the Game","NA","0","NA","0"
"cur_sta.855","Zombie Defense","NA","0","NA","0"
"cur_sta.856","Just Dance 2017","NA","0","
8.6
    ","9 Ratings"
"cur_sta.857","Dungeon Journey","NA","0","NA","0"
"cur_sta.858","Curvatron","NA","
                                1
                            ","NA","0"
"cur_sta.859","Captain Forever Remix","NA","
                                1
                            ","NA","0"
"cur_sta.860","Please, Don't Touch Anything 3D","NA","0","NA","0"
"cur_sta.861","Happy Room","NA","0","NA","0"
"cur_sta.862","Bye-Bye, Wacky Planet","NA","0","NA","0"
"cur_sta.863","Brick Rigs","NA","0","NA","0"
"cur_sta.864","Blue Rider","NA","
                                2
                            ","
8.0
    ","4 Ratings"
"cur_sta.865","SOLITUNE","NA","0","NA","0"
"cur_sta.866","Treasure of a Blizzard","NA","0","NA","0"
"cur_sta.867","Mugen Souls Z","NA","0","NA","0"
"cur_sta.868","Even the Ocean","NA","
                                1
                            ","NA","0"
"cur_sta.869","Earth's Dawn","NA","
                                1
                            ","NA","0"
"cur_sta.870","Wicce","NA","0","NA","0"
"cur_sta.871","Skyhook","NA","0","NA","0"
"cur_sta.872","Chiptune Champion","NA","
                                1
                            ","NA","0"
"cur_sta.873","Toadled","NA","0","NA","0"
"cur_sta.874","Colosse","NA","0","NA","0"
"cur_sta.875","Another Brick in the Mall","NA","0","NA","0"
"cur_sta.876","Mahjong Destiny","NA","0","NA","0"
"cur_sta.877","Tales of Symphonia","NA","0","
8.1
    ","26 Ratings"
"cur_sta.878","Holodrive","NA","0","NA","0"
"cur_sta.879","LEGO Marvel's Avengers","64","
                                4
                            ","
7.1
    ","22 Ratings"
"cur_sta.880","Planet Centauri","NA","0","NA","0"
"cur_sta.881","Ley Lines","NA","0","NA","0"
"cur_sta.882","8-Bit Invaders!","NA","
                                3
                            ","NA","0"
"cur_sta.883","Shock Troopers","NA","0","NA","0"
"cur_sta.884","Legend of Merchant","NA","0","NA","0"
"cur_sta.885","Dungeon Rats","NA","
                                2
                            ","
7.2
    ","18 Ratings"
"cur_sta.886","8-Bit Hordes","NA","
                                3
                            ","NA","0"
"cur_sta.887","SHOWTIME 2073","NA","0","NA","0"
"cur_sta.888","Death Goat","NA","0","NA","0"
"cur_sta.889","Sakura Space","NA","0","NA","0"
"cur_sta.890","Black Rose","NA","0","NA","0"
"cur_sta.891","Star Crusade CCG","NA","0","NA","0"
"cur_sta.892","Winter Novel","NA","
                                1
                            ","NA","0"
"cur_sta.893","AltspaceVR","NA","0","NA","0"
"cur_sta.894","Directionless","NA","0","NA","0"
"cur_sta.895","TOKYO WARFARE","NA","0","NA","0"
"cur_sta.896","SnakEscape","NA","0","
8.0
    ","5 Ratings"
"cur_sta.897","Fabulous - Angela's Fashion Fever","NA","0","NA","0"
"cur_sta.898","Disgraced","NA","0","NA","0"
"cur_sta.899","Tavernier","NA","0","NA","0"
"cur_sta.900","Guided Meditation VR","NA","0","NA","0"
"cur_sta.901","A Legend of Luca","NA","0","NA","0"
"cur_sta.902","Quell 4D","NA","0","NA","0"
"cur_sta.903","Bear Simulator","NA","0","
4.8
    ","9 Ratings"
"cur_sta.904","Midvinter","NA","
                                1
                            ","NA","0"
"cur_sta.905","Negligee","NA","
                                1
                            ","NA","0"
"cur_sta.906","What The Box?","NA","0","NA","0"
"cur_sta.907","Blueprint Tycoon","NA","
                                1
                            ","NA","0"
"cur_sta.908","Roll'd","NA","0","NA","0"
"cur_sta.909","The Average Everyday Adventures of Samantha Browne","NA","0","NA","0"
"cur_sta.910","Kopanito All-Stars Soccer","NA","
                                3
                            ","NA","0"
"cur_sta.911","Envoy","NA","0","NA","0"
"cur_sta.912","Legends of Callasia","NA","
                                1
                            ","NA","0"
"cur_sta.913","Defunct","NA","
                                3
                            ","
7.9
    ","8 Ratings"
"cur_sta.914","Awkward Dimensions Redux","NA","0","
5.2
    ","5 Ratings"
"cur_sta.915","God Eater 2: Rage Burst","73","
                                18
                            ","
6.9
    ","45 Ratings"
"cur_sta.916","Super Star","NA","0","NA","0"
"cur_sta.917","NVIDIA VR Funhouse","NA","0","NA","0"
"cur_sta.918","Energy Cycle","NA","
                                2
                            ","NA","0"
"cur_sta.919","Grand Pigeon's Duty","NA","0","NA","0"
"cur_sta.920","Catch a Falling Star","NA","0","NA","0"
"cur_sta.921","Boid","NA","
                                2
                            ","
7.0
    ","5 Ratings"
"cur_sta.922","Gravity Cat","NA","0","NA","0"
"cur_sta.923","Big Action Mega Fight!","NA","
                                1
                            ","NA","0"
"cur_sta.924","World's Dawn","NA","
                                2
                            ","NA","0"
"cur_sta.925","Optika","NA","0","NA","0"
"cur_sta.926","Airport Madness 3D","NA","0","NA","0"
"cur_sta.927","Twinkle Star Sprites","NA","0","NA","0"
"cur_sta.928","Atari Vault","NA","
                                2
                            ","NA","0"
"cur_sta.929","Dead Secret","NA","
                                2
                            ","
7.6
    ","7 Ratings"
"cur_sta.930","Spin Rush","NA","0","NA","0"
"cur_sta.931","Madrobot X","NA","0","NA","0"
"cur_sta.932","Minion Masters: Forced to Duel","NA","0","
6.1
    ","12 Ratings"
"cur_sta.933","Until I Have You","NA","
                                3
                            ","NA","0"
"cur_sta.934","My Lady","NA","0","NA","0"
"cur_sta.935","Four Sided Fantasy","NA","
                                2
                            ","NA","0"
"cur_sta.936","Front Office Football Eight","NA","0","NA","0"
"cur_sta.937","Evochron Legacy","NA","
                                2
                            ","
8.5
    ","8 Ratings"
"cur_sta.938","She Wants Me Dead","NA","0","NA","0"
"cur_sta.939","Trump Simulator VR","NA","0","NA","0"
"cur_sta.940","Protoshift","NA","
                                1
                            ","NA","0"
"cur_sta.941","Event Horizon","NA","0","NA","0"
"cur_sta.942","Pankapu","NA","
                                1
                            ","NA","0"
"cur_sta.943","Mesel","NA","0","
6.0
    ","5 Ratings"
"cur_sta.944","Chasing Styx","NA","0","NA","0"
"cur_sta.945","NeonXSZ","NA","
                                1
                            ","NA","0"
"cur_sta.946","Projector Face","NA","0","NA","0"
"cur_sta.947","Fear Equation","NA","
                                2
                            ","NA","0"
"cur_sta.948","PolyRace","NA","
                                1
                            ","NA","0"
"cur_sta.949","Embers of Magic","NA","0","NA","0"
"cur_sta.950","Trigger Runners","NA","0","NA","0"
"cur_sta.951","Run Rabbit Run","NA","0","NA","0"
"cur_sta.952","Hoops VR","NA","0","NA","0"
"cur_sta.953","The Narrator Is a DICK","NA","0","NA","0"
"cur_sta.954","Demons with Shotguns","NA","0","NA","0"
"cur_sta.955","Junk Jack","NA","0","NA","0"
"cur_sta.956","SpellKnights","NA","0","NA","0"
"cur_sta.957","Remaining in a dream","NA","0","NA","0"
"cur_sta.958","Hero Battle","NA","0","NA","0"
"cur_sta.959","STARUSHKO LUB","NA","0","NA","0"
"cur_sta.960","Bibou","NA","0","NA","0"
"cur_sta.961","Altar Guardian","NA","0","NA","0"
"cur_sta.962","Red Forest","NA","0","NA","0"
"cur_sta.963","Game Tycoon 2","NA","
                                1
                            ","
4.0
    ","6 Ratings"
"cur_sta.964","Amok","NA","0","NA","0"
"cur_sta.965","Space Beret","NA","0","NA","0"
